tipo_celular,module_size,MBNL2_MM,MBNL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.215,63.0,102,16,15.69,1.74 (1.33-2.15),86,84.31,3.85 (3.46-4.23),3.58,2.93
T cells 18,349,0.254,71.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,118,0.233,62.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,229,0.181,45.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,599,0.288,82.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316,0.151,73.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,408,0.161,48.0,25,7,28.0,1.85 (0.61-3.09),18,72.0,6.10 (4.78-7.43),2.02,2.38
GABA neurons expressing GABA receptors 13,238,0.23,77.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,450,0.253,62.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,221,0.15,28.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.242,67.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45),5.88,6.72
astrocytes 8,771,0.238,72.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,138,0.392,14.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,204,0.288,18.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,126,0.249,28.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,268,0.334,95.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,287,0.165,17.0,105,3,2.86,0.90 (0.75-1.04),102,97.14,5.26 (4.85-5.68),1.81,3.52
da neurons 6,398,0.185,63.0,138,8,5.8,1.41 (0.57-2.25),130,94.2,5.07 (4.73-5.42),2.76,2.73
astrocytes microglia 23,39,0.213,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.209,63.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,479,0.08,1.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,480,0.203,56.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,99,0.115,6.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.203,43.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
