tipo_celular,module_size,EMC3_MM,EMC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.299,85.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,282,0.163,51.0,241,5,2.07,3.68 (2.72-4.63),236,97.93,4.07 (3.81-4.32),2.85,4.37
astrocytes 5,423,0.092,9.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.096,7.0,353,25,7.08,2.03 (1.49-2.57),328,92.92,4.08 (3.89-4.26),23.81,6.86
GABA neurons expressing GLU receptors 22,599,0.196,42.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,380,0.213,79.0,39,5,12.82,3.11 (2.12-4.09),34,87.18,2.94 (2.32-3.57),2.33,2.60
da like neurons 11,1220,0.099,15.0,410,22,5.37,3.43 (2.82-4.04),388,94.63,4.31 (4.12-4.51),9.72,7.39
GABA neurons expressing GABA receptors 13,417,0.15,43.0,213,13,6.1,0.97 (0.58-1.36),200,93.9,4.00 (3.77-4.22),9.23,9.71
endothelial cells 9,916,0.112,18.0,302,11,3.64,2.97 (1.94-4.00),291,96.36,4.03 (3.80-4.26),5.50,10.85
oligodendrocytes 20,275,0.184,43.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.155,27.0,455,26,5.71,2.79 (2.11-3.48),429,94.29,4.47 (4.29-4.66),23.56,7.94
astrocytes 8,354,0.122,51.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,1049,0.048,14.0,235,7,2.98,4.04 (2.85-5.24),228,97.02,3.81 (3.58-4.05),4.87,7.70
oligodendrocytes 10,806,0.148,46.0,261,17,6.51,3.55 (2.84-4.27),244,93.49,4.44 (4.19-4.70),6.07,6.06
connective tissue cells 21,85,0.393,87.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,208,0.07,39.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,74,0.3,91.0,1,1,100.0,NA,0,0.0,NA,1.34,NA
da neurons 6,409,0.087,23.0,235,2,0.85,4.12 (NA-NA),233,99.15,3.97 (3.72-4.23),4.60,4.41
astrocytes microglia 23,124,0.254,18.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,721,0.148,44.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,2078,0.095,14.0,238,4,1.68,2.12 (0.58-3.66),234,98.32,3.67 (3.45-3.89),6.46,5.00
microglia 1,958,0.055,1.0,290,9,3.1,2.95 (2.27-3.63),281,96.9,3.85 (3.61-4.08),6.45,4.95
oligodendrocytes 3,457,0.063,16.0,345,18,5.22,3.21 (2.64-3.78),327,94.78,4.36 (4.14-4.57),8.70,5.53
oligodendrocytes 2,1630,0.131,28.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
