tipo_celular,module_size,RAB3GAP2_MM,RAB3GAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.164,21.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,477,0.174,58.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.13,48.0,166,30,18.07,2.94 (2.32-3.56),136,81.93,3.51 (3.24-3.78),3.75,4.72
oligodendrocyte progenitor cells 7,4285,0.15,73.0,353,65,18.41,2.86 (2.41-3.31),288,81.59,4.17 (3.99-4.36),15.92,6.29
GABA neurons expressing GLU receptors 22,823,0.196,61.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,1316,0.096,24.0,101,7,6.93,4.75 (3.45-6.04),94,93.07,2.91 (2.57-3.26),3.28,3.04
da like neurons 11,101,0.419,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.151,44.0,237,17,7.17,4.77 (4.14-5.40),220,92.83,4.37 (4.13-4.62),4.45,4.16
endothelial cells 9,1653,0.112,38.0,297,4,1.35,4.68 (2.94-6.43),293,98.65,3.66 (3.46-3.87),2.98,5.55
oligodendrocytes 20,279,0.14,24.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,3052,0.058,3.0,125,4,3.2,3.41 (2.61-4.21),121,96.8,3.35 (3.02-3.68),2.67,8.81
astrocytes 8,520,0.063,21.0,288,43,14.93,3.89 (3.35-4.43),245,85.07,4.23 (4.02-4.45),7.14,4.25
oligodendrocyte progenitor cells 12,3303,0.114,86.0,276,46,16.67,2.81 (2.39-3.23),230,83.33,3.74 (3.50-3.99),8.37,4.46
oligodendrocytes 10,2107,0.089,23.0,358,70,19.55,2.88 (2.42-3.34),288,80.45,4.17 (3.98-4.36),14.96,8.14
connective tissue cells 21,92,0.26,30.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768,0.165,96.0,105,30,28.57,2.83 (2.19-3.46),75,71.43,3.38 (3.00-3.77),4.34,3.83
oligodendrocytes 16,90,0.19,34.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,518,0.159,84.0,122,33,27.05,2.53 (2.10-2.97),89,72.95,4.79 (4.34-5.23),5.80,2.62
astrocytes microglia 23,126,0.233,5.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,752,0.161,61.0,96,7,7.29,2.88 (2.28-3.49),89,92.71,3.33 (2.97-3.69),2.75,4.44
oligodendrocytes 0,1186,0.15,60.0,300,17,5.67,4.63 (3.70-5.56),283,94.33,3.74 (3.53-3.95),3.23,4.21
microglia 1,813,0.118,53.0,79,8,10.13,3.36 (2.76-3.95),71,89.87,3.07 (2.62-3.52),3.33,8.42
oligodendrocytes 3,1003,0.073,24.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,921,0.116,18.0,200,20,10.0,3.60 (2.83-4.36),180,90.0,3.62 (3.34-3.91),4.12,3.39
