tipo_celular,module_size,DPYSL2_MM,DPYSL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.159,45.0,140,5,3.57,2.61 (1.51-3.71),135,96.43,4.60 (4.17-5.03),2.15,3.62
T cells 18,349,0.344,83.0,68,14,20.59,2.83 (1.96-3.70),54,79.41,4.94 (4.34-5.54),2.92,3.41
astrocytes 5,322,0.148,39.0,58,7,12.07,2.49 (1.82-3.16),51,87.93,4.45 (4.03-4.88),1.98,2.36
oligodendrocyte progenitor cells 7,448,0.21,80.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.383,90.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,1247,0.139,54.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,197,0.254,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,265,0.176,61.0,78,5,6.41,2.72 (1.77-3.66),73,93.59,4.51 (4.09-4.93),5.20,4.20
endothelial cells 9,338,0.195,72.0,191,5,2.62,4.05 (2.47-5.63),186,97.38,3.88 (3.65-4.11),4.85,9.27
oligodendrocytes 20,938,0.143,59.0,169,10,5.92,2.32 (0.92-3.71),159,94.08,3.53 (3.32-3.75),10.56,5.04
GABA like neurons 14,2402,0.351,74.0,455,18,3.96,1.82 (1.01-2.63),437,96.04,4.45 (4.27-4.64),28.24,8.04
astrocytes 8,279,0.154,9.0,78,11,14.1,2.60 (2.18-3.02),67,85.9,4.65 (4.21-5.09),3.66,2.55
oligodendrocyte progenitor cells 12,103,0.373,20.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,806,0.379,88.0,261,16,6.13,3.79 (2.89-4.68),245,93.87,4.40 (4.15-4.65),6.68,6.03
connective tissue cells 21,250,0.183,13.0,117,14,11.97,3.22 (2.55-3.89),103,88.03,5.80 (5.41-6.18),4.30,3.66
astrocytes 15,268,0.16,71.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,287,0.266,40.0,105,15,14.29,2.75 (2.05-3.44),90,85.71,5.71 (5.31-6.11),3.60,3.45
da neurons 6,228,0.06,4.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,91,0.2,22.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171,0.139,25.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,546,0.17,51.0,252,18,7.14,1.64 (0.88-2.40),234,92.86,4.29 (4.04-4.53),21.99,7.15
microglia 1,214,0.139,31.0,227,14,6.17,3.99 (3.09-4.88),213,93.83,4.10 (3.85-4.34),11.87,5.74
oligodendrocytes 3,127,0.316,70.0,45,8,17.78,3.06 (2.18-3.94),37,82.22,4.87 (3.79-5.95),2.25,6.71
oligodendrocytes 2,526,0.328,70.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
