tipo_celular,module_size,NCOA1_MM,NCOA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.139,36.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,349,0.027,0.0,68,5,7.35,1.55 (0.76-2.34),63,92.65,4.67 (4.13-5.21),2.70,3.36
astrocytes 5,322,0.037,0.0,58,12,20.69,2.77 (2.16-3.38),46,79.31,4.63 (4.19-5.07),2.04,2.39
oligodendrocyte progenitor cells 7,4285,0.056,1.0,353,56,15.86,2.05 (1.77-2.34),297,84.14,4.34 (4.17-4.52),22.32,5.38
GABA neurons expressing GLU receptors 22,567,0.048,2.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,685,0.314,93.0,135,30,22.22,1.96 (1.64-2.28),105,77.78,3.63 (3.27-3.98),3.41,3.85
da like neurons 11,61,0.496,94.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,288,0.086,4.0,93,8,8.6,2.05 (1.37-2.73),85,91.4,5.54 (5.07-6.01),2.84,4.05
endothelial cells 9,658,0.297,77.0,120,18,15.0,3.18 (2.59-3.77),102,85.0,4.90 (4.57-5.23),4.43,3.51
oligodendrocytes 20,676,0.642,92.0,110,7,6.36,1.80 (1.08-2.52),103,93.64,5.31 (4.89-5.73),3.30,3.54
GABA like neurons 14,1300,0.131,17.0,306,21,6.86,2.49 (1.94-3.05),285,93.14,5.39 (5.13-5.64),5.18,6.82
astrocytes 8,279,0.186,16.0,78,25,32.05,3.72 (3.04-4.41),53,67.95,4.67 (4.17-5.16),3.11,2.52
oligodendrocyte progenitor cells 12,254,0.143,22.0,37,12,32.43,3.16 (2.55-3.77),25,67.57,5.34 (4.73-5.96),1.85,2.77
oligodendrocytes 10,236,0.283,9.0,82,4,4.88,2.77 (2.45-3.09),78,95.12,5.14 (4.61-5.68),3.40,3.86
connective tissue cells 21,183,0.309,62.0,32,3,9.38,3.63 (0.92-6.34),29,90.62,5.28 (4.64-5.92),1.72,2.77
astrocytes 15,418,0.281,68.0,54,2,3.7,2.49 (0.14-4.85),52,96.3,3.73 (3.29-4.18),3.64,2.99
oligodendrocytes 16,153,0.301,33.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.176,59.0,138,21,15.22,2.39 (1.85-2.94),117,84.78,5.36 (5.00-5.71),2.52,2.77
astrocytes microglia 23,110,0.224,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220,0.051,1.0,63,8,12.7,2.83 (2.18-3.49),55,87.3,5.59 (5.03-6.15),3.70,3.23
oligodendrocytes 0,261,0.168,39.0,42,9,21.43,1.53 (1.09-1.96),33,78.57,5.05 (4.50-5.60),2.03,2.34
microglia 1,315,0.125,26.0,144,10,6.94,3.23 (2.52-3.94),134,93.06,4.57 (4.24-4.89),3.73,4.24
oligodendrocytes 3,116,0.283,63.0,7,3,42.86,2.70 (-0.72-6.13),4,57.14,5.23 (3.06-7.40),1.53,1.43
oligodendrocytes 2,804,0.082,1.0,84,5,5.95,0.92 (0.41-1.42),79,94.05,2.83 (2.50-3.17),2.89,3.43
