tipo_celular,module_size,ARMH4_MM,ARMH4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.107,14.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624,0.074,4.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932,0.157,93.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.139,57.0,353,2,0.57,0.38 (0.04-0.71),351,99.43,3.91 (3.73-4.10),18.08,8.01
GABA neurons expressing GLU receptors 22,1069,0.138,29.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685,0.094,25.0,135,12,8.89,2.47 (1.74-3.20),123,91.11,3.27 (2.95-3.60),3.50,3.77
da like neurons 11,265,0.06,2.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,357,0.125,29.0,237,1,0.42,5.16 (NA-NA),236,99.58,4.40 (4.17-4.64),3.52,4.19
endothelial cells 9,1653,0.126,48.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,295,0.247,74.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052,0.204,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.104,70.0,66,3,4.55,1.57 (-0.35-3.50),63,95.45,3.32 (2.90-3.74),3.16,2.94
oligodendrocyte progenitor cells 12,411,0.079,41.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,806,0.057,10.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,111,0.215,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377,0.074,8.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,74,0.105,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.147,81.0,122,3,2.46,2.22 (-0.73-5.17),119,97.54,4.05 (3.65-4.44),5.76,3.43
astrocytes microglia 23,141,0.225,35.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,201,0.157,37.0,18,6,33.33,3.50 (3.01-3.98),12,66.67,5.16 (3.91-6.41),3.06,3.11
oligodendrocytes 0,1186,0.128,26.0,300,8,2.67,3.99 (3.26-4.71),292,97.33,3.79 (3.58-4.00),3.69,4.17
microglia 1,1615,0.098,32.0,161,5,3.11,3.08 (0.82-5.33),156,96.89,3.28 (3.01-3.55),2.50,5.53
oligodendrocytes 3,681,0.105,60.0,87,1,1.15,0.55 (NA-NA),86,98.85,2.61 (2.34-2.88),2.53,4.26
oligodendrocytes 2,407,0.177,71.0,122,6,4.92,2.36 (0.43-4.29),116,95.08,3.40 (3.00-3.79),1.65,2.76
