tipo_celular,module_size,CLASP1_MM,CLASP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.127,8.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,388,0.136,42.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,118,0.239,69.0,8,2,25.0,7.13 (4.87-9.39),6,75.0,3.19 (1.61-4.78),1.54,2.16
oligodendrocyte progenitor cells 7,436,0.058,8.0,219,25,11.42,4.79 (4.14-5.44),194,88.58,5.28 (4.97-5.60),4.44,4.63
GABA neurons expressing GLU receptors 22,459,0.169,56.0,165,14,8.48,3.39 (2.36-4.42),151,91.52,5.30 (4.95-5.64),4.70,4.03
GLU like neurons 17,380,0.152,36.0,39,1,2.56,2.06 (NA-NA),38,97.44,2.99 (2.43-3.56),2.22,2.58
da like neurons 11,120,0.445,91.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,266,0.156,50.0,118,17,14.41,5.00 (4.54-5.47),101,85.59,4.69 (4.27-5.10),2.81,4.19
endothelial cells 9,1653,0.232,96.0,297,14,4.71,4.00 (3.11-4.89),283,95.29,3.66 (3.45-3.87),5.11,5.54
oligodendrocytes 20,676,0.732,98.0,110,51,46.36,4.53 (3.96-5.10),59,53.64,5.48 (4.82-6.14),2.95,4.02
GABA like neurons 14,1300,0.238,65.0,306,61,19.93,3.98 (3.48-4.48),245,80.07,5.47 (5.18-5.76),5.27,7.06
astrocytes 8,279,0.291,57.0,78,16,20.51,3.42 (2.54-4.29),62,79.49,4.60 (4.15-5.04),2.88,2.66
oligodendrocyte progenitor cells 12,254,0.14,20.0,37,7,18.92,3.35 (2.35-4.34),30,81.08,4.83 (4.19-5.47),2.45,2.48
oligodendrocytes 10,236,0.406,28.0,82,24,29.27,5.07 (4.46-5.69),58,70.73,4.95 (4.21-5.69),3.20,4.10
connective tissue cells 21,106,0.185,13.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,208,0.402,77.0,4,1,25.0,NA,3,75.0,3.12 (0.87-5.36),1.58,3.23
oligodendrocytes 16,153,0.351,48.0,14,3,21.43,5.05 (3.68-6.41),11,78.57,4.56 (3.68-5.44),1.78,3.20
da neurons 6,398,0.135,44.0,138,47,34.06,4.34 (3.72-4.96),91,65.94,5.13 (4.68-5.57),2.76,2.72
astrocytes microglia 23,122,0.144,3.0,46,1,2.17,5.24 (NA-NA),45,97.83,5.03 (4.45-5.60),2.53,3.23
astrocytes 4,171,0.076,2.0,22,4,18.18,6.34 (5.45-7.23),18,81.82,3.99 (2.99-4.99),1.96,2.03
oligodendrocytes 0,261,0.246,87.0,42,23,54.76,3.38 (2.53-4.22),19,45.24,5.20 (4.30-6.11),2.58,1.90
microglia 1,1615,0.123,69.0,161,18,11.18,1.77 (1.11-2.42),143,88.82,3.50 (3.22-3.77),9.84,4.88
oligodendrocytes 3,116,0.313,87.0,7,4,57.14,0.96 (0.79-1.12),3,42.86,5.55 (4.15-6.96),1.55,1.36
oligodendrocytes 2,237,0.203,44.0,26,9,34.62,NA,17,65.38,5.22 (4.28-6.15),1.95,2.86
