tipo_celular,module_size,BTRC_MM,BTRC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.14,37.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14),1.66,3.42
T cells 18,624,0.099,12.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,1141,0.136,57.0,166,60,36.14,2.87 (2.57-3.18),106,63.86,3.77 (3.42-4.12),5.82,3.83
oligodendrocyte progenitor cells 7,448,0.126,38.0,108,4,3.7,6.11 (5.67-6.55),104,96.3,3.18 (2.75-3.62),2.56,17.68
GABA neurons expressing GLU receptors 22,703,0.258,86.0,23,3,13.04,2.93 (1.07-4.79),20,86.96,1.96 (1.19-2.73),3.29,4.02
GLU like neurons 17,380,0.173,51.0,39,11,28.21,3.52 (3.07-3.98),28,71.79,2.72 (1.97-3.48),2.10,2.75
da like neurons 11,172,0.319,78.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,238,0.116,20.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.183,84.0,297,9,3.03,4.56 (3.96-5.16),288,96.97,3.65 (3.44-3.86),9.66,5.39
oligodendrocytes 20,228,0.183,43.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,1300,0.207,51.0,306,23,7.52,2.68 (2.20-3.16),283,92.48,5.38 (5.12-5.64),4.72,6.87
astrocytes 8,1266,0.103,69.0,66,25,37.88,2.34 (1.78-2.90),41,62.12,3.83 (3.32-4.33),3.48,2.63
oligodendrocyte progenitor cells 12,138,0.491,68.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.094,26.0,358,90,25.14,2.61 (2.35-2.88),268,74.86,4.48 (4.28-4.68),22.03,5.26
connective tissue cells 21,84,0.257,40.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,443,0.092,9.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,82,0.17,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.076,19.0,43,7,16.28,3.78 (3.53-4.04),36,83.72,3.16 (2.51-3.80),2.59,3.64
astrocytes microglia 23,253,0.24,42.0,47,11,23.4,2.92 (2.32-3.51),36,76.6,2.82 (2.42-3.22),2.02,3.41
astrocytes 4,752,0.152,48.0,96,20,20.83,3.45 (2.88-4.02),76,79.17,3.24 (2.85-3.64),2.57,4.78
oligodendrocytes 0,1186,0.157,70.0,300,21,7.0,3.88 (3.40-4.36),279,93.0,3.78 (3.57-4.00),4.95,4.10
microglia 1,1615,0.136,81.0,161,74,45.96,2.57 (2.28-2.87),87,54.04,4.14 (3.76-4.52),8.14,3.13
oligodendrocytes 3,1003,0.102,57.0,111,2,1.8,5.15 (0.37-9.93),109,98.2,3.26 (2.93-3.60),1.73,4.28
oligodendrocytes 2,804,0.192,86.0,84,21,25.0,3.26 (2.61-3.90),63,75.0,2.45 (2.07-2.82),3.41,3.39
