tipo_celular,module_size,GNAQ_MM,GNAQ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.132,32.0,97,4,4.12,3.20 (1.90-4.51),93,95.88,3.05 (2.64-3.46),3.68,4.96
T cells 18,349,0.111,22.0,68,10,14.71,2.97 (1.78-4.16),58,85.29,4.66 (4.07-5.26),3.03,3.36
astrocytes 5,222,0.112,12.0,98,3,3.06,2.36 (0.62-4.10),95,96.94,4.68 (4.28-5.09),3.10,2.64
oligodendrocyte progenitor cells 7,229,0.05,3.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,823,0.098,8.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,489,0.164,64.0,42,4,9.52,4.55 (4.12-4.98),38,90.48,6.15 (5.57-6.74),5.36,2.99
da like neurons 11,145,0.381,86.0,1,1,100.0,NA,0,0.0,NA,1.63,NA
GABA neurons expressing GABA receptors 13,200,0.203,81.0,34,3,8.82,4.75 (2.37-7.14),31,91.18,3.76 (2.81-4.70),1.72,3.66
endothelial cells 9,658,0.335,84.0,120,28,23.33,3.49 (3.08-3.90),92,76.67,5.01 (4.65-5.38),4.60,3.36
oligodendrocytes 20,676,0.152,38.0,110,6,5.45,2.27 (0.62-3.92),104,94.55,5.18 (4.74-5.61),4.57,3.46
GABA like neurons 14,1300,0.12,14.0,306,40,13.07,3.58 (3.04-4.12),266,86.93,5.45 (5.17-5.72),7.28,6.62
astrocytes 8,279,0.208,24.0,78,21,26.92,3.76 (3.06-4.46),57,73.08,4.57 (4.07-5.06),2.64,2.73
oligodendrocyte progenitor cells 12,254,0.188,29.0,37,11,29.73,3.76 (2.79-4.72),26,70.27,4.90 (4.23-5.58),2.70,2.37
oligodendrocytes 10,2107,0.4,97.0,358,35,9.78,1.99 (1.48-2.50),323,90.22,4.14 (3.95-4.32),22.30,8.08
connective tissue cells 21,114,0.276,46.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,418,0.329,75.0,54,10,18.52,3.88 (3.02-4.75),44,81.48,3.64 (3.13-4.14),2.84,3.05
oligodendrocytes 16,287,0.196,25.0,105,13,12.38,3.54 (2.36-4.73),92,87.62,5.39 (4.95-5.84),3.48,3.47
da neurons 6,553,0.273,94.0,124,7,5.65,3.11 (1.60-4.62),117,94.35,4.25 (3.84-4.65),2.58,3.06
astrocytes microglia 23,58,0.286,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220,0.096,8.0,63,3,4.76,2.73 (2.43-3.04),60,95.24,5.29 (4.72-5.86),2.42,3.34
oligodendrocytes 0,187,0.114,17.0,14,2,14.29,6.08 (4.28-7.88),12,85.71,5.43 (4.76-6.09),1.54,2.65
microglia 1,813,0.139,72.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54),3.89,8.01
oligodendrocytes 3,127,0.186,21.0,45,6,13.33,3.47 (1.93-5.02),39,86.67,4.57 (3.57-5.56),2.04,6.52
oligodendrocytes 2,237,0.145,17.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
