tipo_celular,module_size,BCL2L13_MM,BCL2L13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.086,7.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07),1.95,3.60
T cells 18,477,0.191,68.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.111,22.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,10,2.83,0.76 (0.37-1.15),343,97.17,4.01 (3.83-4.19),42.81,7.05
GABA neurons expressing GLU receptors 22,1069,0.213,81.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.16,68.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.12,41.0,133,5,3.76,0.41 (0.29-0.53),128,96.24,3.39 (3.08-3.69),7.30,4.04
GABA neurons expressing GABA receptors 13,101,0.209,87.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,1653,0.081,14.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,358,0.222,78.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090,0.169,60.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266,0.094,63.0,66,8,12.12,1.38 (0.23-2.53),58,87.88,3.53 (3.13-3.92),3.65,2.86
oligodendrocyte progenitor cells 12,3303,0.035,4.0,276,3,1.09,1.44 (0.56-2.31),273,98.91,3.57 (3.35-3.79),8.33,5.07
oligodendrocytes 10,806,0.063,12.0,261,2,0.77,1.55 (1.04-2.07),259,99.23,4.39 (4.15-4.63),6.66,6.06
connective tissue cells 21,93,0.312,69.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401,0.086,51.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,84,0.174,45.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,307,0.119,50.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,54,0.278,31.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,721,0.135,21.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.114,50.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,958,0.083,10.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,854,0.099,60.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.125,29.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
