tipo_celular,module_size,PXK_MM,PXK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.353,85.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.387,87.0,68,10,14.71,2.28 (1.47-3.08),58,85.29,4.87 (4.30-5.43),2.98,3.37
astrocytes 5,165,0.318,79.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.234,68.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.377,89.0,16,4,25.0,3.05 (1.97-4.12),12,75.0,1.54 (0.85-2.24),1.77,4.25
GLU like neurons 17,637,0.363,89.0,91,12,13.19,1.41 (0.72-2.11),79,86.81,5.22 (4.77-5.67),3.18,3.04
da like neurons 11,408,0.373,83.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,288,0.32,87.0,93,7,7.53,2.54 (1.18-3.90),86,92.47,5.43 (4.95-5.91),2.17,4.09
endothelial cells 9,450,0.521,89.0,74,3,4.05,4.46 (3.26-5.67),71,95.95,5.53 (4.95-6.11),1.71,3.72
oligodendrocytes 20,676,0.162,39.0,110,8,7.27,2.41 (1.01-3.81),102,92.73,5.21 (4.77-5.64),2.45,3.61
GABA like neurons 14,3052,0.143,54.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,771,0.63,96.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,218,0.313,59.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,204,0.442,51.0,92,3,3.26,3.36 (1.73-4.99),89,96.74,5.83 (5.36-6.30),5.17,3.67
connective tissue cells 21,250,0.571,84.0,117,4,3.42,2.84 (1.31-4.38),113,96.58,5.50 (5.10-5.89),4.42,3.71
astrocytes 15,458,0.272,90.0,36,2,5.56,3.95 (2.83-5.06),34,94.44,3.75 (2.56-4.94),2.00,2.61
oligodendrocytes 16,122,0.1,0.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,398,0.298,86.0,138,14,10.14,2.39 (1.61-3.17),124,89.86,5.15 (4.79-5.52),2.71,2.74
astrocytes microglia 23,72,0.333,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,102,0.238,65.0,42,2,4.76,5.00 (4.97-5.04),40,95.24,5.73 (4.96-6.50),1.66,3.24
oligodendrocytes 0,187,0.177,56.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,127,0.29,74.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,187,0.168,79.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,131,0.184,50.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
