tipo_celular,module_size,ADAR_MM,ADAR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.181,69.0,35,12,34.29,4.23 (3.56-4.90),23,65.71,3.53 (2.18-4.87),2.81,2.91
T cells 18,610,0.167,62.0,98,40,40.82,2.03 (1.68-2.37),58,59.18,4.03 (3.70-4.35),6.05,2.65
astrocytes 5,228,0.069,0.0,266,28,10.53,2.55 (2.03-3.07),238,89.47,4.37 (4.16-4.58),5.59,4.91
oligodendrocyte progenitor cells 7,4285,0.12,27.0,353,80,22.66,2.50 (2.21-2.78),273,77.34,4.44 (4.26-4.63),18.78,4.92
GABA neurons expressing GLU receptors 22,487,0.208,48.0,73,9,12.33,2.08 (1.43-2.73),64,87.67,2.87 (2.44-3.30),3.78,7.83
GLU like neurons 17,1247,0.074,11.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,142,0.134,23.0,2,1,50.0,NA,1,50.0,4.56 (NA-NA),1.83,1.59
GABA neurons expressing GABA receptors 13,200,0.132,35.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,559,0.114,32.0,155,2,1.29,4.31 (2.57-6.04),153,98.71,4.34 (3.97-4.71),1.76,4.36
oligodendrocytes 20,271,0.114,19.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.201,42.0,455,50,10.99,2.70 (2.28-3.12),405,89.01,4.64 (4.45-4.82),18.65,7.62
astrocytes 8,520,0.101,41.0,288,24,8.33,2.97 (2.55-3.39),264,91.67,4.32 (4.11-4.53),8.04,4.38
oligodendrocyte progenitor cells 12,3303,0.106,80.0,276,62,22.46,2.40 (2.12-2.68),214,77.54,3.98 (3.73-4.23),10.11,3.66
oligodendrocytes 10,735,0.175,82.0,277,4,1.44,6.03 (5.93-6.13),273,98.56,3.87 (3.63-4.11),2.32,9.04
connective tissue cells 21,103,0.3,60.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401,0.113,72.0,96,9,9.38,2.38 (1.75-3.01),87,90.62,3.75 (3.27-4.24),3.61,3.82
oligodendrocytes 16,90,0.221,58.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,307,0.138,66.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,108,0.286,26.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,721,0.135,20.0,61,6,9.84,3.30 (2.21-4.39),55,90.16,2.93 (2.48-3.37),2.27,6.43
oligodendrocytes 0,2078,0.097,18.0,238,20,8.4,3.20 (2.58-3.81),218,91.6,3.68 (3.45-3.91),8.26,4.73
microglia 1,346,0.085,7.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,457,0.039,3.0,345,34,9.86,3.61 (3.12-4.09),311,90.14,4.37 (4.15-4.60),6.59,5.59
oligodendrocytes 2,921,0.126,31.0,200,26,13.0,3.51 (3.08-3.95),174,87.0,3.64 (3.34-3.94),4.74,3.27
