tipo_celular,module_size,ALDH2_MM,ALDH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.099,11.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),3.38,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.095,29.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,296.0,0.188,55.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31),2.98,6.17
GABA neurons expressing GLU receptors 22,703.0,0.253,85.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1247.0,0.065,7.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.257,72.0,410,17,4.15,2.96 (2.30-3.63),393,95.85,4.30 (4.11-4.49),16.02,7.15
GABA neurons expressing GABA receptors 13,357.0,0.152,45.0,237,5,2.11,2.64 (1.91-3.37),232,97.89,4.46 (4.22-4.69),3.60,4.20
endothelial cells 9,338.0,0.092,27.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,253.0,0.032,4.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.188,37.0,455,26,5.71,1.86 (1.26-2.45),429,94.29,4.51 (4.33-4.69),25.67,7.81
astrocytes 8,260.0,0.172,77.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66),3.04,1.77
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,20,7.25,1.89 (1.52-2.27),256,92.75,3.71 (3.49-3.94),11.28,4.63
oligodendrocytes 10,806.0,0.181,58.0,261,11,4.21,2.59 (1.94-3.25),250,95.79,4.42 (4.18-4.67),5.29,6.10
connective tissue cells 21,125.0,0.325,60.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.144,88.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09),1.39,3.82
oligodendrocytes 16,313.0,0.221,51.0,291,7,2.41,2.40 (1.61-3.20),284,97.59,4.39 (4.16-4.61),2.98,3.84
da neurons 6,409.0,0.278,92.0,235,16,6.81,2.84 (2.07-3.60),219,93.19,4.09 (3.83-4.34),6.76,4.24
astrocytes microglia 23,103.0,0.245,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.137,23.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.118,23.0,127,3,2.36,2.01 (1.77-2.24),124,97.64,3.09 (2.66-3.52),3.38,6.35
microglia 1,1615.0,0.113,56.0,161,21,13.04,1.37 (0.98-1.76),140,86.96,3.63 (3.37-3.90),12.49,4.37
oligodendrocytes 3,457.0,0.1,40.0,345,12,3.48,3.04 (2.41-3.68),333,96.52,4.31 (4.10-4.53),18.03,5.25
oligodendrocytes 2,99.0,0.149,15.0,116,1,0.86,3.42 (NA-NA),115,99.14,3.96 (3.66-4.27),3.33,7.27
