tipo_celular,module_size,TERF2IP_MM,TERF2IP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.205,63.0,140,1,0.71,2.00 (NA-NA),139,99.29,4.53 (4.11-4.96),2.76,3.58
T cells 18,282,0.159,49.0,241,6,2.49,4.18 (3.02-5.34),235,97.51,4.05 (3.79-4.31),2.29,4.39
astrocytes 5,228,0.186,54.0,266,20,7.52,2.26 (1.59-2.94),246,92.48,4.31 (4.11-4.51),5.26,4.96
oligodendrocyte progenitor cells 7,296,0.207,65.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848,0.335,82.0,262,14,5.34,2.52 (1.56-3.48),248,94.66,4.27 (4.02-4.52),4.96,4.06
GLU like neurons 17,1316,0.136,61.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,1220,0.427,94.0,410,13,3.17,2.99 (2.13-3.85),397,96.83,4.30 (4.11-4.49),10.75,7.41
GABA neurons expressing GABA receptors 13,265,0.303,91.0,78,2,2.56,2.74 (1.28-4.20),76,97.44,4.41 (4.00-4.83),4.91,4.25
endothelial cells 9,338,0.202,73.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12),4.44,9.18
oligodendrocytes 20,403,0.057,22.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95),4.74,2.61
GABA like neurons 14,2402,0.476,86.0,455,33,7.25,2.09 (1.60-2.57),422,92.75,4.59 (4.42-4.77),19.18,8.03
astrocytes 8,520,0.284,85.0,288,13,4.51,3.07 (2.30-3.84),275,95.49,4.24 (4.03-4.44),7.59,4.55
oligodendrocyte progenitor cells 12,708,0.108,50.0,32,15,46.88,1.87 (1.14-2.60),17,53.12,4.44 (3.38-5.50),3.04,2.21
oligodendrocytes 10,806,0.402,90.0,261,2,0.77,2.70 (1.32-4.09),259,99.23,4.38 (4.14-4.62),8.72,6.04
connective tissue cells 21,301,0.196,6.0,158,9,5.7,2.32 (1.32-3.32),149,94.3,4.43 (4.06-4.80),6.06,7.13
astrocytes 15,1401,0.085,50.0,96,11,11.46,2.63 (1.95-3.32),85,88.54,3.77 (3.27-4.27),4.22,3.74
oligodendrocytes 16,313,0.262,64.0,291,10,3.44,3.03 (2.15-3.92),281,96.56,4.38 (4.15-4.61),6.01,3.74
da neurons 6,300,0.303,87.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,70,0.242,27.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,721,0.104,2.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,116,0.091,9.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57),NA,6.49
microglia 1,214,0.252,72.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,457,0.108,45.0,345,23,6.67,4.20 (3.52-4.89),322,93.33,4.28 (4.06-4.50),5.79,5.69
oligodendrocytes 2,528,0.173,33.0,175,11,6.29,4.63 (3.62-5.65),164,93.71,4.35 (3.98-4.72),2.44,4.77
