tipo_celular,module_size,SEC22B_MM,SEC22B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.228,63.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,727,0.111,25.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656,0.142,88.0,136,11,8.09,3.53 (3.05-4.02),125,91.91,3.18 (2.89-3.47),3.60,5.11
oligodendrocyte progenitor cells 7,4285,0.156,80.0,353,61,17.28,2.99 (2.51-3.46),292,82.72,4.13 (3.95-4.32),15.75,6.46
GABA neurons expressing GLU receptors 22,703,0.164,37.0,23,1,4.35,NA,22,95.65,2.09 (1.38-2.80),1.31,4.05
GLU like neurons 17,1316,0.076,10.0,101,6,5.94,4.92 (3.42-6.41),95,94.06,2.93 (2.58-3.27),3.16,3.05
da like neurons 11,1220,0.073,4.0,410,38,9.27,3.55 (3.06-4.04),372,90.73,4.35 (4.15-4.55),8.57,7.41
GABA neurons expressing GABA receptors 13,93,0.089,3.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,385,0.062,8.0,275,38,13.82,2.37 (1.91-2.83),237,86.18,4.33 (4.06-4.61),7.39,5.64
oligodendrocytes 20,221,0.021,2.0,12,2,16.67,5.75 (5.75-5.75),10,83.33,1.58 (0.12-3.05),2.17,4.65
GABA like neurons 14,2402,0.089,6.0,455,59,12.97,3.38 (2.90-3.86),396,87.03,4.53 (4.34-4.73),14.84,7.94
astrocytes 8,520,0.043,8.0,288,43,14.93,3.62 (3.14-4.10),245,85.07,4.30 (4.09-4.52),6.79,4.32
oligodendrocyte progenitor cells 12,3303,0.046,11.0,276,48,17.39,3.23 (2.74-3.72),228,82.61,3.63 (3.39-3.87),7.92,4.52
oligodendrocytes 10,735,0.095,50.0,277,2,0.72,4.92 (4.72-5.12),275,99.28,3.88 (3.64-4.13),2.79,8.99
connective tissue cells 21,69,0.367,78.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1401,0.063,29.0,96,10,10.42,2.89 (2.20-3.58),86,89.58,3.72 (3.22-4.22),2.73,3.92
oligodendrocytes 16,113,0.227,87.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74),1.56,1.80
da neurons 6,228,0.094,45.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA),1.75,2.23
astrocytes microglia 23,124,0.252,16.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,1807,0.182,98.0,104,26,25.0,2.69 (2.10-3.28),78,75.0,2.92 (2.60-3.24),7.34,4.75
oligodendrocytes 0,2078,0.154,99.0,238,23,9.66,3.98 (3.15-4.81),215,90.34,3.60 (3.37-3.83),4.98,5.03
microglia 1,958,0.098,29.0,290,19,6.55,2.48 (1.95-3.01),271,93.45,3.93 (3.70-4.17),5.59,4.96
oligodendrocytes 3,743,0.096,67.0,76,6,7.89,3.97 (3.56-4.39),70,92.11,3.08 (2.65-3.51),5.36,7.45
oligodendrocytes 2,1630,0.164,89.0,154,4,2.6,3.87 (1.60-6.13),150,97.4,3.24 (2.97-3.50),1.86,3.64
