tipo_celular,module_size,SQSTM1_MM,SQSTM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.169,58.0,19,3,15.79,4.03 (4.03-4.03),16,84.21,2.24 (1.46-3.01),2.03,3.57
T cells 18,282,0.275,94.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,328,0.166,50.0,128,6,4.69,4.41 (4.23-4.58),122,95.31,3.52 (3.16-3.88),2.69,6.96
oligodendrocyte progenitor cells 7,666,0.16,45.0,127,35,27.56,3.28 (2.59-3.97),92,72.44,4.07 (3.70-4.44),3.68,6.66
GABA neurons expressing GLU receptors 22,848,0.164,29.0,262,67,25.57,4.11 (3.72-4.49),195,74.43,4.18 (3.87-4.49),6.13,3.41
GLU like neurons 17,229,0.243,77.0,22,4,18.18,3.97 (3.84-4.09),18,81.82,2.20 (1.54-2.85),1.81,3.37
da like neurons 11,1220,0.22,63.0,410,73,17.8,4.26 (3.91-4.62),337,82.2,4.24 (4.03-4.46),9.10,7.17
GABA neurons expressing GABA receptors 13,265,0.066,2.0,78,13,16.67,4.31 (3.26-5.36),65,83.33,4.37 (3.92-4.82),4.47,4.22
endothelial cells 9,385,0.194,91.0,275,98,35.64,2.75 (2.48-3.02),177,64.36,4.92 (4.61-5.24),7.12,5.20
oligodendrocytes 20,403,0.119,49.0,18,12,66.67,1.65 (0.81-2.49),6,33.33,2.33 (1.16-3.50),4.12,3.14
GABA like neurons 14,2402,0.278,62.0,455,95,20.88,3.65 (3.26-4.05),360,79.12,4.56 (4.35-4.76),12.98,7.74
astrocytes 8,603,0.172,86.0,89,7,7.87,1.39 (0.90-1.89),82,92.13,2.93 (2.56-3.29),4.80,6.15
oligodendrocyte progenitor cells 12,1049,0.092,50.0,235,19,8.09,4.85 (4.02-5.68),216,91.91,3.76 (3.52-4.00),7.76,7.60
oligodendrocytes 10,735,0.195,87.0,277,6,2.17,5.85 (4.95-6.75),271,97.83,3.84 (3.60-4.09),2.95,9.08
connective tissue cells 21,118,0.242,18.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,377,0.128,31.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,313,0.178,33.0,291,51,17.53,4.23 (3.77-4.69),240,82.47,4.35 (4.09-4.61),5.10,3.54
da neurons 6,409,0.124,51.0,235,19,8.09,3.99 (3.16-4.83),216,91.91,3.97 (3.71-4.24),5.00,4.36
astrocytes microglia 23,255,0.195,11.0,57,18,31.58,3.29 (2.81-3.78),39,68.42,2.36 (1.91-2.81),2.46,3.74
astrocytes 4,208,0.284,79.0,173,9,5.2,4.05 (3.34-4.77),164,94.8,3.78 (3.47-4.10),3.10,5.76
oligodendrocytes 0,546,0.159,44.0,252,54,21.43,3.15 (2.60-3.69),198,78.57,4.36 (4.09-4.63),9.94,7.74
microglia 1,346,0.196,74.0,43,1,2.33,3.28 (NA-NA),42,97.67,3.78 (3.26-4.30),1.52,4.56
oligodendrocytes 3,743,0.126,87.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526,0.22,36.0,213,10,4.69,4.99 (4.22-5.76),203,95.31,3.95 (3.67-4.23),3.50,8.16
