tipo_celular,module_size,ACTB_MM,ACTB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.259,53.0,98,22,22.45,2.32 (1.60-3.05),76,77.55,3.49 (2.93-4.04),14.05,13.28
T cells 18,506,0.571,96.0,225,59,26.22,3.47 (3.03-3.91),166,73.78,3.67 (3.37-3.97),10.16,7.10
astrocytes 5,328,0.255,78.0,128,9,7.03,4.37 (3.86-4.88),119,92.97,3.48 (3.12-3.85),4.56,6.93
oligodendrocyte progenitor cells 7,628,0.374,96.0,164,11,6.71,4.47 (3.57-5.37),153,93.29,4.05 (3.71-4.40),3.70,7.80
GABA neurons expressing GLU receptors 22,848,0.412,93.0,262,68,25.95,4.32 (3.74-4.89),194,74.05,4.10 (3.84-4.37),5.85,3.49
GLU like neurons 17,685,0.397,97.0,135,61,45.19,2.65 (2.26-3.05),74,54.81,3.62 (3.20-4.05),4.00,3.55
da like neurons 11,1220,0.415,94.0,410,47,11.46,3.66 (3.12-4.20),363,88.54,4.32 (4.12-4.52),9.90,7.21
GABA neurons expressing GABA receptors 13,266,0.093,8.0,118,8,6.78,4.54 (3.86-5.21),110,93.22,4.75 (4.37-5.13),2.37,4.11
endothelial cells 9,916,0.292,70.0,302,10,3.31,2.79 (1.69-3.88),292,96.69,4.03 (3.80-4.26),12.15,10.60
oligodendrocytes 20,938,0.297,94.0,169,27,15.98,3.08 (2.43-3.72),142,84.02,3.54 (3.31-3.78),7.25,5.01
GABA like neurons 14,2402,0.554,92.0,455,60,13.19,2.69 (2.21-3.18),395,86.81,4.63 (4.45-4.81),16.15,7.72
astrocytes 8,603,0.312,98.0,89,12,13.48,1.89 (1.24-2.53),77,86.52,2.96 (2.57-3.35),6.13,6.03
oligodendrocyte progenitor cells 12,138,0.414,25.0,5,4,80.0,4.33 (4.33-4.33),1,20.0,NA,2.45,1.61
oligodendrocytes 10,483,0.382,89.0,129,8,6.2,4.17 (3.57-4.77),121,93.8,3.38 (2.97-3.79),15.63,19.43
connective tissue cells 21,301,0.597,92.0,158,17,10.76,2.96 (2.26-3.66),141,89.24,4.48 (4.09-4.88),8.72,6.87
astrocytes 15,1401,0.144,87.0,96,28,29.17,3.97 (3.33-4.61),68,70.83,3.45 (2.86-4.03),4.04,3.70
oligodendrocytes 16,153,0.289,29.0,14,2,14.29,5.00 (2.64-7.36),12,85.71,4.61 (3.81-5.41),1.98,3.04
da neurons 6,300,0.109,28.0,159,6,3.77,5.67 (4.99-6.34),153,96.23,4.31 (3.99-4.63),2.95,3.76
astrocytes microglia 23,137,0.448,78.0,188,43,22.87,3.12 (2.59-3.65),145,77.13,4.90 (4.52-5.28),7.26,7.11
astrocytes 4,208,0.321,83.0,173,18,10.4,4.13 (3.64-4.63),155,89.6,3.75 (3.42-4.08),4.25,5.78
oligodendrocytes 0,546,0.313,91.0,252,49,19.44,2.86 (2.23-3.50),203,80.56,4.41 (4.17-4.65),13.24,7.00
microglia 1,406,0.466,86.0,278,12,4.32,4.37 (3.92-4.81),266,95.68,4.36 (4.07-4.65),5.15,6.81
oligodendrocytes 3,127,0.563,96.0,45,17,37.78,3.71 (2.94-4.47),28,62.22,5.29 (3.56-7.02),2.17,8.19
oligodendrocytes 2,526,0.6,98.0,213,5,2.35,4.84 (2.09-7.59),208,97.65,3.96 (3.69-4.24),8.25,7.93
