tipo_celular,module_size,RAB11A_MM,RAB11A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.084,6.0,15,7,46.67,6.14 (5.15-7.13),8,53.33,5.18 (4.64-5.73),2.43,2.25
T cells 18,282,0.208,68.0,241,18,7.47,3.69 (3.10-4.28),223,92.53,4.09 (3.82-4.35),2.11,4.52
astrocytes 5,328,0.249,78.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.285,89.0,164,17,10.37,4.30 (3.69-4.91),147,89.63,4.05 (3.69-4.42),3.35,8.01
GABA neurons expressing GLU receptors 22,203,0.253,47.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1316,0.167,82.0,101,7,6.93,3.31 (2.86-3.77),94,93.07,3.03 (2.65-3.41),2.20,3.12
da like neurons 11,1220,0.206,59.0,410,64,15.61,3.63 (3.27-4.00),346,84.39,4.37 (4.16-4.58),9.02,7.24
GABA neurons expressing GABA receptors 13,266,0.094,9.0,118,18,15.25,4.61 (4.11-5.12),100,84.75,4.76 (4.35-5.17),2.88,4.19
endothelial cells 9,559,0.207,66.0,155,6,3.87,5.20 (3.66-6.73),149,96.13,4.30 (3.93-4.68),2.36,4.41
oligodendrocytes 20,322,0.063,20.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.443,84.0,455,72,15.82,3.54 (3.12-3.97),383,84.18,4.52 (4.32-4.72),14.37,7.79
astrocytes 8,520,0.177,67.0,288,80,27.78,4.18 (3.83-4.53),208,72.22,4.17 (3.92-4.41),7.00,3.80
oligodendrocyte progenitor cells 12,1049,0.221,87.0,235,14,5.96,3.78 (3.03-4.54),221,94.04,3.83 (3.58-4.07),8.51,7.56
oligodendrocytes 10,806,0.135,41.0,261,71,27.2,4.30 (3.91-4.68),190,72.8,4.39 (4.09-4.70),5.15,6.41
connective tissue cells 21,136,0.298,56.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,443,0.177,69.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,64,0.234,77.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,307,0.106,37.0,95,9,9.47,4.48 (3.93-5.03),86,90.53,4.90 (4.41-5.39),3.09,3.39
astrocytes microglia 23,70,0.235,25.0,76,13,17.11,4.82 (4.42-5.22),63,82.89,4.03 (3.39-4.67),3.55,4.74
astrocytes 4,208,0.186,45.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,86,0.191,66.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,406,0.137,31.0,278,7,2.52,5.17 (4.05-6.30),271,97.48,4.34 (4.06-4.62),3.78,6.81
oligodendrocytes 3,457,0.114,50.0,345,78,22.61,3.72 (3.41-4.03),267,77.39,4.48 (4.22-4.74),7.58,5.14
oligodendrocytes 2,526,0.15,15.0,213,1,0.47,6.09 (NA-NA),212,99.53,3.97 (3.69-4.24),2.85,7.96
