tipo_celular,module_size,PSD3_MM,PSD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.196,67.0,32,2,6.25,NA,30,93.75,3.72 (2.95-4.50),1.97,3.72
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.088,5.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,666.0,0.07,4.0,127,1,0.79,4.86 (NA-NA),126,99.21,3.82 (3.48-4.16),2.23,5.87
GABA neurons expressing GLU receptors 22,848.0,0.259,67.0,262,3,1.15,3.32 (1.33-5.30),259,98.85,4.17 (3.92-4.42),3.75,4.11
GLU like neurons 17,685.0,0.163,66.0,135,1,0.74,1.29 (NA-NA),134,99.26,3.21 (2.90-3.51),1.54,3.77
da like neurons 11,197.0,0.368,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238.0,0.184,61.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,450.0,0.236,58.0,74,2,2.7,4.33 (4.33-4.33),72,97.3,5.51 (4.94-6.08),3.07,3.65
oligodendrocytes 20,676.0,0.46,75.0,110,3,2.73,4.33 (4.33-4.33),107,97.27,5.01 (4.55-5.47),3.66,3.52
GABA like neurons 14,1300.0,0.101,9.0,306,8,2.61,3.31 (2.19-4.43),298,97.39,5.15 (4.88-5.41),9.92,6.62
astrocytes 8,279.0,0.274,48.0,78,6,7.69,3.31 (1.78-4.84),72,92.31,4.36 (3.94-4.79),3.77,2.62
oligodendrocyte progenitor cells 12,411.0,0.148,54.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,236.0,0.435,36.0,82,1,1.22,NA,81,98.78,4.99 (4.48-5.51),2.16,3.86
connective tissue cells 21,136.0,0.14,1.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,418.0,0.184,57.0,54,4,7.41,3.70 (2.11-5.30),50,92.59,3.68 (3.22-4.14),3.77,2.95
oligodendrocytes 16,287.0,0.285,45.0,105,7,6.67,3.72 (2.75-4.69),98,93.33,5.18 (4.71-5.65),4.34,3.41
da neurons 6,553.0,0.299,96.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,91.0,0.209,26.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,220.0,0.154,42.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,261.0,0.225,77.0,42,2,4.76,4.33 (4.33-4.33),40,95.24,4.04 (3.30-4.78),1.80,2.30
microglia 1,480.0,0.111,9.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,99.0,0.345,97.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.321,85.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
