tipo_celular,module_size,RSRC1_MM,RSRC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.138,35.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,610,0.218,88.0,98,28,28.57,1.65 (1.27-2.04),70,71.43,3.73 (3.42-4.04),7.39,2.70
astrocytes 5,1141,0.166,89.0,166,22,13.25,2.06 (1.49-2.62),144,86.75,3.62 (3.36-3.88),7.90,4.04
oligodendrocyte progenitor cells 7,4285,0.158,83.0,353,41,11.61,1.99 (1.62-2.36),312,88.39,4.21 (4.03-4.39),28.12,5.43
GABA neurons expressing GLU receptors 22,823,0.068,2.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24),2.43,3.57
GLU like neurons 17,1316,0.114,42.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,289,0.32,93.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,77,0.261,93.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,1653,0.152,69.0,297,2,0.67,4.52 (4.52-4.52),295,99.33,3.67 (3.46-3.87),4.50,5.52
oligodendrocytes 20,228,0.214,54.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,3052,0.122,36.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,354,0.194,85.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708,0.101,44.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.407,98.0,358,40,11.17,1.99 (1.61-2.37),318,88.83,4.17 (3.99-4.36),32.58,6.57
connective tissue cells 21,126,0.264,38.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,1768,0.135,86.0,105,26,24.76,2.25 (1.78-2.72),79,75.24,3.53 (3.14-3.92),5.82,3.37
oligodendrocytes 16,112,0.222,81.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,398,0.107,26.0,138,7,5.07,1.94 (0.78-3.10),131,94.93,4.98 (4.62-5.34),2.56,2.74
astrocytes microglia 23,253,0.297,77.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752,0.148,43.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.148,58.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615,0.122,67.0,161,31,19.25,1.56 (1.21-1.91),130,80.75,3.76 (3.49-4.02),12.94,3.64
oligodendrocytes 3,1003,0.14,81.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,804,0.128,21.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
