tipo_celular,module_size,EPM2AIP1_MM,EPM2AIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.187,60.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518,0.143,41.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,1656,0.147,92.0,136,2,1.47,1.37 (1.27-1.47),134,98.53,3.24 (2.97-3.51),9.46,4.92
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,14,3.97,1.51 (1.13-1.89),339,96.03,4.02 (3.83-4.20),17.11,7.69
GABA neurons expressing GLU receptors 22,848,0.133,16.0,262,3,1.15,0.52 (0.18-0.87),259,98.85,4.22 (3.98-4.46),3.99,4.11
GLU like neurons 17,380,0.183,58.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,1220,0.092,12.0,410,4,0.98,2.60 (1.26-3.95),406,99.02,4.27 (4.08-4.46),15.81,7.43
GABA neurons expressing GABA receptors 13,200,0.183,69.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,338,0.099,31.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,221,0.155,32.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402,0.208,44.0,455,8,1.76,1.56 (0.83-2.30),447,98.24,4.41 (4.23-4.59),13.59,8.75
astrocytes 8,354,0.095,32.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.101,75.0,276,18,6.52,1.62 (1.30-1.94),258,93.48,3.71 (3.49-3.93),7.64,4.93
oligodendrocytes 10,806,0.109,30.0,261,2,0.77,3.22 (3.17-3.28),259,99.23,4.38 (4.13-4.62),4.48,6.08
connective tissue cells 21,101,0.227,17.0,116,3,2.59,2.80 (1.96-3.63),113,97.41,4.68 (4.26-5.10),4.47,3.19
astrocytes 15,458,0.047,16.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,71,0.261,75.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA),NA,1.65
da neurons 6,448,0.159,87.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,157,0.248,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.19,98.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.151,57.0,127,7,5.51,1.80 (1.47-2.14),120,94.49,3.17 (2.73-3.61),3.28,6.45
microglia 1,958,0.106,43.0,290,5,1.72,1.31 (0.80-1.82),285,98.28,3.87 (3.64-4.10),6.53,4.97
oligodendrocytes 3,854,0.074,30.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.162,86.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
