tipo_celular,module_size,DDX17_MM,DDX17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.23,49.0,140,12,8.57,2.97 (2.30-3.65),128,91.43,4.73 (4.44-5.02),5.14,3.39
T cells 18,610,0.068,3.0,98,39,39.8,2.03 (1.64-2.41),59,60.2,3.91 (3.58-4.24),6.03,2.72
astrocytes 5,328,0.134,31.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,448,0.087,11.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,567,0.068,4.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.253,76.0,91,10,10.99,1.10 (0.43-1.77),81,89.01,5.14 (4.69-5.59),3.11,3.05
da like neurons 11,408,0.18,53.0,25,8,32.0,2.26 (0.91-3.61),17,68.0,6.18 (4.75-7.62),1.95,2.43
GABA neurons expressing GABA receptors 13,288,0.104,11.0,93,8,8.6,2.20 (1.44-2.96),85,91.4,5.52 (5.04-6.00),2.75,4.06
endothelial cells 9,1653,0.166,77.0,297,3,1.01,3.85 (1.26-6.43),294,98.99,3.67 (3.47-3.88),7.91,5.49
oligodendrocytes 20,676,0.331,59.0,110,8,7.27,1.80 (1.08-2.52),102,92.73,5.31 (4.89-5.73),3.12,3.56
GABA like neurons 14,1300,0.112,11.0,306,18,5.88,2.31 (1.80-2.82),288,94.12,5.36 (5.11-5.61),5.42,6.79
astrocytes 8,279,0.133,7.0,78,14,17.95,2.98 (2.33-3.63),64,82.05,4.67 (4.22-5.12),3.03,2.64
oligodendrocyte progenitor cells 12,708,0.078,30.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236,0.152,3.0,82,3,3.66,2.88 (2.53-3.22),79,96.34,5.10 (4.57-5.63),3.95,3.83
connective tissue cells 21,101,0.195,8.0,116,2,1.72,1.45 (0.47-2.42),114,98.28,4.69 (4.28-5.10),3.78,3.21
astrocytes 15,418,0.196,59.0,54,2,3.7,2.49 (0.14-4.85),52,96.3,3.73 (3.29-4.18),3.64,2.99
oligodendrocytes 16,287,0.253,36.0,105,7,6.67,1.76 (1.08-2.44),98,93.33,5.44 (5.04-5.84),2.81,3.52
da neurons 6,398,0.173,58.0,138,21,15.22,2.49 (1.85-3.13),117,84.78,5.31 (4.95-5.66),2.39,2.80
astrocytes microglia 23,166,0.243,31.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,208,0.12,10.0,173,1,0.58,3.72 (NA-NA),172,99.42,3.80 (3.50-4.10),3.12,5.64
oligodendrocytes 0,261,0.072,2.0,42,7,16.67,1.51 (0.95-2.08),35,83.33,4.77 (4.14-5.40),2.22,2.28
microglia 1,315,0.173,51.0,144,8,5.56,2.97 (2.52-3.41),136,94.44,4.56 (4.24-4.88),3.98,4.22
oligodendrocytes 3,127,0.139,8.0,45,5,11.11,2.08 (1.29-2.87),40,88.89,4.85 (3.95-5.74),2.24,6.38
oligodendrocytes 2,348,0.123,11.0,114,6,5.26,3.10 (2.80-3.40),108,94.74,5.28 (4.85-5.70),6.20,4.29
