tipo_celular,module_size,SCP2_MM,SCP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.111,15.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,393,0.125,30.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1141,0.132,51.0,166,19,11.45,2.02 (1.55-2.50),147,88.55,3.61 (3.35-3.87),8.33,4.06
oligodendrocyte progenitor cells 7,4285,0.142,61.0,353,44,12.46,2.29 (1.80-2.79),309,87.54,4.18 (4.00-4.36),25.75,5.55
GABA neurons expressing GLU receptors 22,203,0.273,55.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1316,0.113,40.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,200,0.174,45.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,357,0.083,6.0,237,11,4.64,3.39 (2.65-4.13),226,95.36,4.47 (4.23-4.71),3.44,4.22
endothelial cells 9,559,0.167,54.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,403,0.078,34.0,18,12,66.67,1.23 (0.69-1.76),6,33.33,3.17 (1.95-4.40),4.20,2.97
GABA like neurons 14,3052,0.159,67.0,125,4,3.2,5.28 (3.08-7.48),121,96.8,3.27 (2.96-3.59),3.05,8.80
astrocytes 8,603,0.044,15.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23),6.91,6.00
oligodendrocyte progenitor cells 12,3303,0.065,33.0,276,38,13.77,2.47 (1.97-2.96),238,86.23,3.77 (3.54-4.00),12.02,4.01
oligodendrocytes 10,735,0.092,48.0,277,4,1.44,3.65 (3.42-3.88),273,98.56,3.90 (3.65-4.14),2.83,9.04
connective tissue cells 21,111,0.218,14.0,26,3,11.54,2.92 (2.29-3.55),23,88.46,2.45 (1.69-3.22),3.00,2.06
astrocytes 15,1768,0.039,6.0,105,22,20.95,2.04 (1.60-2.48),83,79.05,3.56 (3.18-3.94),7.01,3.17
oligodendrocytes 16,92,0.145,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.11,40.0,235,20,8.51,3.03 (2.29-3.77),215,91.49,4.09 (3.83-4.35),5.11,4.35
astrocytes microglia 23,122,0.238,14.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721,0.153,52.0,61,1,1.64,NA,60,98.36,2.97 (2.55-3.38),1.89,6.09
oligodendrocytes 0,2078,0.106,32.0,238,9,3.78,2.30 (1.64-2.96),229,96.22,3.70 (3.47-3.92),6.78,4.95
microglia 1,346,0.094,10.0,43,2,4.65,3.98 (3.15-4.82),41,95.35,3.75 (3.22-4.29),3.26,4.54
oligodendrocytes 3,639,0.059,16.0,15,8,53.33,2.31 (0.74-3.88),7,46.67,4.92 (3.00-6.83),2.64,1.73
oligodendrocytes 2,1630,0.103,4.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
