tipo_celular,module_size,UBE3A_MM,UBE3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.17,24.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,727,0.177,75.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,1141,0.163,87.0,166,40,24.1,3.11 (2.59-3.63),126,75.9,3.48 (3.19-3.77),4.95,4.42
oligodendrocyte progenitor cells 7,4285,0.111,18.0,353,43,12.18,2.83 (2.39-3.26),310,87.82,4.06 (3.86-4.25),15.29,7.06
GABA neurons expressing GLU receptors 22,848,0.333,82.0,262,31,11.83,4.14 (3.60-4.67),231,88.17,4.16 (3.89-4.44),4.44,4.06
GLU like neurons 17,1316,0.213,95.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,168,0.219,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238,0.092,8.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.154,69.0,297,13,4.38,4.06 (3.15-4.97),284,95.62,3.66 (3.46-3.87),9.10,5.35
oligodendrocytes 20,358,0.067,23.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402,0.296,65.0,455,31,6.81,3.73 (3.06-4.40),424,93.19,4.40 (4.21-4.60),12.32,8.58
astrocytes 8,577,0.09,54.0,83,11,13.25,3.33 (2.02-4.63),72,86.75,3.24 (2.76-3.72),2.37,4.79
oligodendrocyte progenitor cells 12,218,0.274,53.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,2107,0.114,35.0,358,55,15.36,2.94 (2.47-3.42),303,84.64,4.06 (3.85-4.26),15.53,8.37
connective tissue cells 21,110,0.243,37.0,13,7,53.85,3.18 (2.36-4.00),6,46.15,3.04 (1.42-4.66),1.74,1.65
astrocytes 15,443,0.107,16.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,156,0.141,7.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,553,0.122,46.0,124,13,10.48,4.35 (3.40-5.29),111,89.52,4.17 (3.74-4.59),2.79,3.06
astrocytes microglia 23,121,0.269,20.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,752,0.175,82.0,96,16,16.67,3.56 (2.57-4.56),80,83.33,3.25 (2.90-3.60),2.35,4.71
oligodendrocytes 0,1186,0.152,63.0,300,17,5.67,4.30 (3.55-5.05),283,94.33,3.76 (3.55-3.98),3.80,4.18
microglia 1,813,0.104,34.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.092,45.0,111,6,5.41,4.62 (1.67-7.57),105,94.59,3.26 (2.92-3.60),3.02,4.30
oligodendrocytes 2,804,0.15,50.0,84,28,33.33,3.30 (2.74-3.86),56,66.67,2.41 (2.02-2.80),3.97,3.11
