tipo_celular,module_size,KHDRBS1_MM,KHDRBS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.129,7.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624,0.168,63.0,142,9,6.34,4.16 (3.51-4.81),133,93.66,3.14 (2.86-3.41),3.40,4.36
astrocytes 5,423,0.095,11.0,80,2,2.5,2.76 (-0.61-6.12),78,97.5,3.42 (2.94-3.90),2.47,5.08
oligodendrocyte progenitor cells 7,666,0.152,39.0,127,15,11.81,2.46 (1.73-3.19),112,88.19,4.12 (3.78-4.47),3.92,6.10
GABA neurons expressing GLU receptors 22,848,0.21,50.0,262,19,7.25,3.21 (2.29-4.14),243,92.75,4.25 (3.99-4.50),4.99,4.03
GLU like neurons 17,685,0.087,19.0,135,43,31.85,2.55 (2.11-3.00),92,68.15,3.53 (3.15-3.92),4.03,3.62
da like neurons 11,200,0.19,52.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,75,0.127,23.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,412,0.12,24.0,141,11,7.8,2.79 (1.72-3.87),130,92.2,2.98 (2.73-3.22),3.77,7.08
oligodendrocytes 20,403,0.111,46.0,18,12,66.67,1.29 (0.69-1.88),6,33.33,3.06 (1.82-4.30),4.58,2.23
GABA like neurons 14,3052,0.157,65.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60),1.77,8.84
astrocytes 8,577,0.051,19.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,57,20.65,2.31 (2.03-2.58),219,79.35,3.98 (3.74-4.22),9.94,3.85
oligodendrocytes 10,2107,0.094,26.0,358,102,28.49,2.89 (2.57-3.21),256,71.51,4.43 (4.24-4.63),18.68,5.80
connective tissue cells 21,118,0.298,53.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,367,0.105,24.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,64,0.118,10.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,448,0.101,50.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78),2.73,3.59
astrocytes microglia 23,132,0.264,23.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,721,0.15,47.0,61,5,8.2,3.66 (2.97-4.35),56,91.8,2.90 (2.46-3.34),1.63,6.41
oligodendrocytes 0,1186,0.119,15.0,300,16,5.33,3.70 (3.12-4.29),284,94.67,3.80 (3.58-4.01),4.84,4.12
microglia 1,958,0.169,94.0,290,49,16.9,4.07 (3.56-4.59),241,83.1,3.75 (3.50-4.01),6.60,4.68
oligodendrocytes 3,854,0.052,7.0,76,5,6.58,2.41 (0.66-4.15),71,93.42,2.81 (2.48-3.14),2.44,4.88
oligodendrocytes 2,921,0.119,22.0,200,28,14.0,4.24 (3.62-4.85),172,86.0,3.50 (3.21-3.79),5.29,3.17
