tipo_celular,module_size,TMX3_MM,TMX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.137,35.0,97,11,11.34,3.41 (2.95-3.87),86,88.66,3.03 (2.60-3.45),3.40,5.10
T cells 18,624,0.121,25.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656,0.166,99.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47),3.81,5.03
oligodendrocyte progenitor cells 7,4285,0.186,99.0,353,14,3.97,1.55 (0.94-2.17),339,96.03,4.02 (3.83-4.20),32.82,7.04
GABA neurons expressing GLU receptors 22,823,0.107,10.0,23,1,4.35,3.22 (NA-NA),22,95.65,2.35 (1.59-3.11),2.42,3.47
GLU like neurons 17,1247,0.075,11.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,209,0.179,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.134,35.0,237,3,1.27,4.99 (NA-NA),234,98.73,4.40 (4.17-4.64),2.49,4.21
endothelial cells 9,1653,0.068,6.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,938,0.051,13.0,169,13,7.69,3.00 (2.33-3.66),156,92.31,3.52 (3.29-3.75),4.91,5.40
GABA like neurons 14,3052,0.153,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,140,0.093,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303,0.072,41.0,276,6,2.17,2.35 (1.49-3.21),270,97.83,3.58 (3.36-3.80),10.12,5.00
oligodendrocytes 10,735,0.043,9.0,277,2,0.72,4.47 (NA-NA),275,99.28,3.89 (3.65-4.13),2.33,8.99
connective tissue cells 21,96,0.25,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377,0.255,94.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,75,0.215,63.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,518,0.141,78.0,122,21,17.21,2.41 (1.83-2.99),101,82.79,4.37 (3.94-4.79),5.23,3.12
astrocytes microglia 23,125,0.251,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.167,87.0,104,11,10.58,2.77 (2.03-3.51),93,89.42,2.87 (2.57-3.18),7.52,5.15
oligodendrocytes 0,2078,0.128,78.0,238,2,0.84,2.87 (2.19-3.55),236,99.16,3.64 (3.42-3.87),9.81,4.98
microglia 1,813,0.129,63.0,79,10,12.66,3.20 (2.75-3.66),69,87.34,3.08 (2.62-3.55),2.93,8.62
oligodendrocytes 3,743,0.07,33.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,1630,0.164,89.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
