tipo_celular,module_size,SERP1_MM,SERP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.3,84.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,506,0.127,22.0,225,12,5.33,1.87 (1.39-2.34),213,94.67,3.75 (3.49-4.00),11.63,7.69
astrocytes 5,1141,0.117,30.0,166,11,6.63,1.47 (0.84-2.09),155,93.37,3.56 (3.31-3.81),5.07,4.51
oligodendrocyte progenitor cells 7,4285,0.145,65.0,353,31,8.78,2.08 (1.50-2.67),322,91.22,4.12 (3.94-4.30),22.99,6.63
GABA neurons expressing GLU receptors 22,1069,0.11,13.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316,0.059,5.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,289,0.139,31.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,200,0.105,10.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,916,0.209,51.0,302,13,4.3,2.81 (2.14-3.48),289,95.7,4.05 (3.82-4.29),10.62,10.65
oligodendrocytes 20,358,0.198,70.0,31,6,19.35,3.52 (3.18-3.86),25,80.65,2.07 (1.60-2.53),1.93,4.29
GABA like neurons 14,2402,0.164,29.0,455,30,6.59,2.61 (1.93-3.29),425,93.41,4.52 (4.33-4.70),19.51,8.08
astrocytes 8,354,0.169,76.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,1049,0.081,42.0,235,7,2.98,3.62 (2.61-4.63),228,97.02,3.83 (3.59-4.07),10.26,7.53
oligodendrocytes 10,483,0.203,71.0,129,1,0.78,2.97 (NA-NA),128,99.22,3.43 (3.04-3.83),67.77,18.81
connective tissue cells 21,139,0.268,27.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768,0.121,79.0,105,19,18.1,2.02 (1.50-2.54),86,81.9,3.50 (3.13-3.87),4.29,3.91
oligodendrocytes 16,123,0.141,9.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,448,0.11,60.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,39,0.307,43.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80),NA,1.48
astrocytes 4,721,0.148,44.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,613,0.105,12.0,127,6,4.72,3.85 (1.77-5.93),121,95.28,2.99 (2.57-3.40),3.49,6.42
microglia 1,406,0.245,61.0,278,1,0.36,2.97 (NA-NA),277,99.64,4.37 (4.10-4.64),68.79,6.51
oligodendrocytes 3,854,0.1,62.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,921,0.122,25.0,200,5,2.5,2.01 (1.53-2.50),195,97.5,3.67 (3.40-3.94),4.10,3.45
