tipo_celular,module_size,PSAP_MM,PSAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.177,53.0,140,9,6.43,3.25 (1.72-4.79),131,93.57,4.60 (4.16-5.03),2.91,3.62
T cells 18,282,0.247,79.0,241,10,4.15,4.35 (3.10-5.60),231,95.85,4.04 (3.78-4.30),3.06,4.39
astrocytes 5,328,0.311,87.0,128,1,0.78,2.60 (NA-NA),127,99.22,3.58 (3.23-3.92),2.97,6.79
oligodendrocyte progenitor cells 7,628,0.381,97.0,164,21,12.8,4.21 (3.63-4.79),143,87.2,4.06 (3.69-4.43),3.36,8.14
GABA neurons expressing GLU receptors 22,848,0.509,99.0,262,33,12.6,3.28 (2.79-3.77),229,87.4,4.30 (4.03-4.57),7.19,3.66
GLU like neurons 17,1316,0.184,89.0,101,4,3.96,5.46 (4.08-6.83),97,96.04,2.93 (2.59-3.27),3.98,3.02
da like neurons 11,1220,0.518,98.0,410,37,9.02,3.73 (3.19-4.27),373,90.98,4.30 (4.10-4.50),12.86,6.99
GABA neurons expressing GABA receptors 13,357,0.367,96.0,237,16,6.75,4.49 (3.61-5.37),221,93.25,4.40 (4.16-4.64),3.74,4.22
endothelial cells 9,338,0.272,83.0,191,14,7.33,4.23 (3.55-4.90),177,92.67,3.85 (3.62-4.09),6.22,9.39
oligodendrocytes 20,330,0.055,12.0,36,4,11.11,2.20 (2.02-2.38),32,88.89,1.88 (1.49-2.28),4.35,2.97
GABA like neurons 14,2402,0.65,97.0,455,48,10.55,3.11 (2.56-3.66),407,89.45,4.51 (4.32-4.70),19.05,7.63
astrocytes 8,520,0.339,90.0,288,43,14.93,3.74 (3.23-4.24),245,85.07,4.25 (4.04-4.47),10.33,3.69
oligodendrocyte progenitor cells 12,138,0.406,19.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,806,0.401,90.0,261,25,9.58,3.21 (2.74-3.67),236,90.42,4.49 (4.23-4.75),9.25,5.73
connective tissue cells 21,101,0.296,42.0,116,16,13.79,2.77 (1.63-3.91),100,86.21,4.90 (4.49-5.31),3.58,3.16
astrocytes 15,1768,0.159,94.0,105,17,16.19,2.60 (1.80-3.40),88,83.81,3.34 (2.98-3.71),7.25,3.35
oligodendrocytes 16,313,0.346,80.0,291,37,12.71,3.52 (3.04-3.99),254,87.29,4.47 (4.23-4.72),6.24,3.46
da neurons 6,300,0.383,96.0,159,12,7.55,4.67 (3.78-5.55),147,92.45,4.35 (4.02-4.67),3.66,3.73
astrocytes microglia 23,137,0.344,44.0,188,18,9.57,2.84 (2.12-3.56),170,90.43,4.58 (4.22-4.94),3.42,7.54
astrocytes 4,208,0.249,71.0,173,7,4.05,4.47 (0.81-8.13),166,95.95,3.78 (3.48-4.09),2.40,5.76
oligodendrocytes 0,546,0.257,82.0,252,40,15.87,2.52 (2.02-3.02),212,84.13,4.42 (4.17-4.68),11.95,7.51
microglia 1,406,0.339,72.0,278,3,1.08,5.50 (NA-NA),275,98.92,4.36 (4.08-4.63),6.31,6.74
oligodendrocytes 3,127,0.277,58.0,45,7,15.56,2.81 (1.97-3.65),38,84.44,4.87 (3.85-5.89),2.16,6.61
oligodendrocytes 2,528,0.404,94.0,175,31,17.71,3.83 (3.32-4.35),144,82.29,4.51 (4.10-4.92),9.73,3.52
