tipo_celular,module_size,TUBA1A_MM,TUBA1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.384,92.0,140,12,8.57,3.60 (2.92-4.28),128,91.43,4.64 (4.17-5.10),3.29,3.60
T cells 18,282,0.422,96.0,241,8,3.32,3.23 (2.59-3.87),233,96.68,4.10 (3.84-4.36),2.43,4.40
astrocytes 5,228,0.36,92.0,266,43,16.17,3.03 (2.56-3.50),223,83.83,4.38 (4.16-4.60),7.39,4.51
oligodendrocyte progenitor cells 7,296,0.392,95.0,251,9,3.59,4.63 (4.04-5.22),242,96.41,4.03 (3.78-4.28),3.58,6.25
GABA neurons expressing GLU receptors 22,848,0.308,78.0,262,34,12.98,2.99 (2.50-3.47),228,87.02,4.35 (4.08-4.61),6.26,3.78
GLU like neurons 17,637,0.358,89.0,91,16,17.58,1.94 (1.13-2.75),75,82.42,5.35 (4.90-5.80),3.70,2.92
da like neurons 11,1220,0.63,100.0,410,31,7.56,3.14 (2.63-3.65),379,92.44,4.34 (4.14-4.53),10.34,7.28
GABA neurons expressing GABA receptors 13,417,0.126,24.0,213,19,8.92,1.62 (0.91-2.33),194,91.08,3.97 (3.74-4.21),10.15,9.64
endothelial cells 9,338,0.418,96.0,191,7,3.66,3.80 (2.67-4.94),184,96.34,3.89 (3.66-4.12),4.58,9.33
oligodendrocytes 20,938,0.221,85.0,169,18,10.65,2.64 (1.99-3.29),151,89.35,3.57 (3.34-3.80),8.30,5.01
GABA like neurons 14,2402,0.738,100.0,455,33,7.25,2.39 (1.76-3.01),422,92.75,4.50 (4.31-4.68),20.17,7.95
astrocytes 8,520,0.39,94.0,288,26,9.03,3.62 (3.08-4.17),262,90.97,4.23 (4.02-4.44),10.99,4.06
oligodendrocyte progenitor cells 12,708,0.358,90.0,32,10,31.25,1.47 (0.71-2.24),22,68.75,4.23 (3.32-5.14),3.61,2.14
oligodendrocytes 10,806,0.61,99.0,261,34,13.03,3.79 (3.31-4.28),227,86.97,4.46 (4.19-4.72),5.13,6.20
connective tissue cells 21,101,0.542,93.0,116,26,22.41,3.67 (3.11-4.24),90,77.59,4.96 (4.45-5.46),3.70,3.08
astrocytes 15,458,0.087,45.0,36,1,2.78,3.38 (NA-NA),35,97.22,3.78 (2.65-4.92),1.76,2.60
oligodendrocytes 16,313,0.272,67.0,291,34,11.68,3.24 (2.81-3.67),257,88.32,4.51 (4.27-4.75),4.74,3.69
da neurons 6,409,0.3,95.0,235,12,5.11,3.48 (2.38-4.58),223,94.89,4.00 (3.75-4.26),3.85,4.45
astrocytes microglia 23,70,0.398,77.0,76,13,17.11,4.85 (4.52-5.18),63,82.89,3.96 (3.29-4.64),3.80,4.69
astrocytes 4,157,0.322,83.0,178,34,19.1,3.14 (2.58-3.71),144,80.9,4.44 (4.15-4.72),5.73,4.21
oligodendrocytes 0,546,0.349,95.0,252,22,8.73,2.04 (1.38-2.70),230,91.27,4.31 (4.06-4.55),20.42,7.04
microglia 1,214,0.4,92.0,227,17,7.49,4.35 (3.82-4.88),210,92.51,4.07 (3.82-4.32),10.37,5.78
oligodendrocytes 3,127,0.537,94.0,45,2,4.44,4.33 (4.33-4.33),43,95.56,4.31 (3.39-5.24),2.40,6.08
oligodendrocytes 2,526,0.59,98.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26),31.00,7.83
