tipo_celular,module_size,RPS19_MM,RPS19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.416,80.0,98,48,48.98,3.55 (2.93-4.17),50,51.02,2.85 (2.16-3.55),21.86,5.38
T cells 18,506,0.658,100.0,225,70,31.11,3.47 (3.05-3.90),155,68.89,3.68 (3.37-3.99),16.02,4.24
astrocytes 5,328,0.246,77.0,128,11,8.59,3.74 (3.27-4.21),117,91.41,3.55 (3.16-3.93),17.12,5.79
oligodendrocyte progenitor cells 7,448,0.387,96.0,108,17,15.74,4.47 (3.66-5.29),91,84.26,3.00 (2.52-3.49),21.99,16.21
GABA neurons expressing GLU receptors 22,487,0.406,93.0,73,22,30.14,3.34 (2.61-4.08),51,69.86,2.48 (2.05-2.91),9.40,6.43
GLU like neurons 17,685,0.341,95.0,135,46,34.07,2.25 (1.89-2.62),89,65.93,3.64 (3.26-4.02),5.68,2.75
da like neurons 11,1220,0.203,58.0,410,33,8.05,3.35 (2.85-3.84),377,91.95,4.33 (4.13-4.52),15.00,6.86
GABA neurons expressing GABA receptors 13,77,0.211,69.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41),1.81,1.75
endothelial cells 9,916,0.585,98.0,302,24,7.95,3.99 (3.12-4.87),278,92.05,3.98 (3.75-4.21),24.28,9.48
oligodendrocytes 20,938,0.206,82.0,169,35,20.71,3.48 (2.87-4.09),134,79.29,3.48 (3.25-3.71),11.54,3.75
GABA like neurons 14,2402,0.453,85.0,455,62,13.63,2.87 (2.38-3.36),393,86.37,4.61 (4.43-4.80),20.03,7.07
astrocytes 8,603,0.26,95.0,89,23,25.84,2.80 (2.25-3.35),66,74.16,2.74 (2.28-3.19),8.16,5.30
oligodendrocyte progenitor cells 12,1049,0.383,95.0,235,29,12.34,4.15 (3.54-4.76),206,87.66,3.78 (3.53-4.03),18.90,6.03
oligodendrocytes 10,483,0.637,100.0,129,31,24.03,4.64 (4.03-5.25),98,75.97,3.08 (2.64-3.53),24.13,17.63
connective tissue cells 21,301,0.701,100.0,158,32,20.25,3.81 (3.13-4.48),126,79.75,4.41 (3.98-4.85),18.78,4.09
astrocytes 15,458,0.07,33.0,36,3,8.33,4.13 (2.88-5.38),33,91.67,3.71 (2.48-4.95),2.07,2.62
oligodendrocytes 16,96,0.254,64.0,102,49,48.04,2.89 (2.33-3.44),53,51.96,3.74 (3.39-4.10),12.07,3.59
da neurons 6,729,0.205,74.0,182,37,20.33,3.87 (3.15-4.58),145,79.67,3.58 (3.32-3.84),16.73,6.43
astrocytes microglia 23,137,0.566,95.0,188,61,32.45,3.54 (2.99-4.09),127,67.55,4.89 (4.49-5.28),15.07,3.34
astrocytes 4,208,0.137,16.0,173,26,15.03,4.53 (3.74-5.31),147,84.97,3.64 (3.32-3.95),7.15,5.35
oligodendrocytes 0,546,0.291,89.0,252,63,25.0,3.04 (2.49-3.58),189,75.0,4.46 (4.21-4.71),18.29,4.85
microglia 1,406,0.601,98.0,278,26,9.35,4.53 (3.87-5.19),252,90.65,4.34 (4.05-4.64),22.07,5.15
oligodendrocytes 3,303,0.274,94.0,154,24,15.58,4.62 (3.93-5.30),130,84.42,3.46 (3.11-3.80),30.70,8.36
oligodendrocytes 2,526,0.372,79.0,213,16,7.51,4.38 (3.59-5.18),197,92.49,3.95 (3.66-4.24),28.70,6.25
