tipo_celular,module_size,HSP90AA1_MM,HSP90AA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.394,93.0,140,34,24.29,4.56 (3.42-5.70),106,75.71,4.50 (4.04-4.95),3.50,3.60
T cells 18,282,0.359,92.0,241,34,14.11,4.26 (3.57-4.95),207,85.89,4.02 (3.75-4.29),2.68,4.61
astrocytes 5,228,0.372,93.0,266,88,33.08,3.54 (3.07-4.01),178,66.92,4.36 (4.15-4.57),6.12,4.41
oligodendrocyte progenitor cells 7,666,0.448,97.0,127,41,32.28,4.14 (3.48-4.79),86,67.72,3.64 (3.28-4.00),3.37,7.01
GABA neurons expressing GLU receptors 22,848,0.481,98.0,262,89,33.97,3.85 (3.45-4.24),173,66.03,4.32 (4.01-4.63),5.56,3.35
GLU like neurons 17,637,0.278,79.0,91,22,24.18,2.12 (1.32-2.92),69,75.82,5.42 (4.98-5.87),3.65,2.87
da like neurons 11,1220,0.658,100.0,410,102,24.88,4.11 (3.79-4.44),308,75.12,4.29 (4.07-4.52),9.02,7.02
GABA neurons expressing GABA receptors 13,357,0.493,100.0,237,34,14.35,4.19 (3.58-4.79),203,85.65,4.44 (4.19-4.70),3.88,4.23
endothelial cells 9,385,0.478,99.0,275,109,39.64,3.17 (2.82-3.53),166,60.36,4.64 (4.31-4.97),8.08,4.44
oligodendrocytes 20,322,0.13,54.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.683,98.0,455,115,25.27,3.70 (3.34-4.05),340,74.73,4.60 (4.39-4.81),13.28,7.33
astrocytes 8,520,0.452,97.0,288,85,29.51,3.85 (3.49-4.21),203,70.49,4.29 (4.05-4.52),7.58,3.47
oligodendrocyte progenitor cells 12,708,0.134,60.0,25,5,20.0,3.60 (0.78-6.41),20,80.0,2.70 (1.66-3.73),2.29,2.60
oligodendrocytes 10,806,0.638,99.0,261,59,22.61,3.90 (3.34-4.45),202,77.39,4.47 (4.20-4.74),5.09,6.35
connective tissue cells 21,101,0.399,72.0,116,29,25.0,3.60 (2.51-4.68),87,75.0,4.86 (4.43-5.28),4.27,2.87
astrocytes 15,418,0.255,65.0,54,5,9.26,4.41 (1.85-6.98),49,90.74,3.62 (3.19-4.04),3.66,2.95
oligodendrocytes 16,313,0.622,100.0,291,85,29.21,4.12 (3.72-4.51),206,70.79,4.41 (4.14-4.68),4.60,3.49
da neurons 6,300,0.541,100.0,159,12,7.55,5.31 (4.41-6.21),147,92.45,4.30 (3.98-4.62),2.93,3.79
astrocytes microglia 23,70,0.464,85.0,76,9,11.84,7.89 (7.51-8.27),67,88.16,3.91 (3.47-4.35),3.41,4.68
astrocytes 4,514,0.435,96.0,95,26,27.37,3.73 (2.82-4.64),69,72.63,3.21 (2.76-3.67),2.72,5.37
oligodendrocytes 0,546,0.281,86.0,252,78,30.95,3.31 (2.83-3.79),174,69.05,4.44 (4.17-4.71),9.00,7.86
microglia 1,214,0.401,93.0,227,38,16.74,4.32 (3.66-4.98),189,83.26,4.06 (3.81-4.32),7.12,5.92
oligodendrocytes 3,457,0.364,96.0,345,114,33.04,4.12 (3.80-4.43),231,66.96,4.35 (4.08-4.62),7.06,5.02
oligodendrocytes 2,528,0.51,99.0,175,57,32.57,4.55 (4.01-5.09),118,67.43,4.30 (3.86-4.74),6.37,3.77
