tipo_celular,module_size,SPATS2L_MM,SPATS2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.262,85.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,477,0.313,96.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.103,16.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666,0.115,13.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,1069,0.231,88.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489,0.159,61.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,132,0.397,82.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,77,0.106,4.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,586,0.166,38.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,271,0.215,66.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300,0.144,21.0,306,1,0.33,3.52 (NA-NA),305,99.67,5.10 (4.83-5.36),4.88,6.71
astrocytes 8,577,0.135,76.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,103,0.459,56.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,1277,0.078,29.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183,0.281,55.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76),NA,2.67
astrocytes 15,1768,0.077,41.0,105,9,8.57,1.71 (1.14-2.28),96,91.43,3.37 (3.02-3.72),9.97,3.42
oligodendrocytes 16,90,0.16,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.067,6.0,122,6,4.92,1.07 (0.21-1.93),116,95.08,4.19 (3.81-4.57),4.24,3.44
astrocytes microglia 23,253,0.178,10.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,514,0.146,25.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,1186,0.152,63.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,346,0.212,78.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,1003,0.101,56.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,347,0.172,39.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
