tipo_celular,module_size,PPIP5K2_MM,PPIP5K2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.171,21.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,727,0.142,48.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.124,38.0,166,5,3.01,1.36 (0.34-2.37),161,96.99,3.47 (3.22-3.72),3.53,4.58
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,21,5.95,2.28 (1.73-2.82),332,94.05,4.02 (3.84-4.21),16.15,7.55
GABA neurons expressing GLU receptors 22,1069,0.253,94.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316,0.132,57.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,71,0.312,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,93,0.11,14.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.112,38.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88),3.41,5.53
oligodendrocytes 20,403,0.154,62.0,18,3,16.67,1.43 (0.36-2.51),15,83.33,1.97 (1.18-2.76),3.33,3.88
GABA like neurons 14,3052,0.172,77.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727,0.112,53.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.157,100.0,276,21,7.61,2.71 (2.23-3.19),255,92.39,3.63 (3.40-3.86),6.20,5.02
oligodendrocytes 10,2107,0.248,82.0,358,13,3.63,1.83 (1.10-2.57),345,96.37,3.96 (3.77-4.16),22.14,9.00
connective tissue cells 21,139,0.217,10.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,443,0.164,60.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,71,0.119,6.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,518,0.073,10.0,122,13,10.66,2.67 (2.11-3.23),109,89.34,4.20 (3.77-4.63),2.11,3.65
astrocytes microglia 23,83,0.221,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.137,25.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.13,82.0,238,6,2.52,2.15 (1.22-3.07),232,97.48,3.68 (3.46-3.90),6.34,4.99
microglia 1,1615,0.1,35.0,161,14,8.7,1.83 (1.10-2.57),147,91.3,3.43 (3.16-3.70),8.49,5.14
oligodendrocytes 3,854,0.093,55.0,76,4,5.26,2.32 (0.46-4.18),72,94.74,2.81 (2.47-3.14),2.79,4.83
oligodendrocytes 2,804,0.144,42.0,84,7,8.33,2.15 (1.03-3.27),77,91.67,2.75 (2.40-3.10),4.36,3.31
