tipo_celular,module_size,DYNC1LI1_MM,DYNC1LI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.105,14.0,73,8,10.96,4.05 (3.66-4.44),65,89.04,3.50 (3.11-3.88),2.40,3.32
T cells 18,518,0.09,8.0,131,3,2.29,3.52 (2.02-5.02),128,97.71,3.06 (2.78-3.34),2.60,4.80
astrocytes 5,1656,0.113,44.0,136,3,2.21,1.90 (0.89-2.91),133,97.79,3.24 (2.97-3.52),5.23,4.98
oligodendrocyte progenitor cells 7,4285,0.12,27.0,353,39,11.05,2.07 (1.68-2.46),314,88.95,4.18 (3.99-4.36),17.80,6.85
GABA neurons expressing GLU receptors 22,1069,0.09,7.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1316,0.137,62.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,1220,0.151,38.0,410,30,7.32,2.85 (2.29-3.41),380,92.68,4.37 (4.18-4.56),9.02,7.40
GABA neurons expressing GABA receptors 13,357,0.118,25.0,237,7,2.95,2.52 (2.06-2.99),230,97.05,4.48 (4.25-4.72),3.11,4.22
endothelial cells 9,338,0.067,11.0,191,9,4.71,3.84 (2.61-5.07),182,95.29,3.89 (3.66-4.11),4.38,9.39
oligodendrocytes 20,271,0.217,67.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.22,48.0,455,33,7.25,2.17 (1.66-2.69),422,92.75,4.53 (4.35-4.71),20.33,7.94
astrocytes 8,520,0.078,29.0,288,30,10.42,3.50 (2.82-4.18),258,89.58,4.26 (4.06-4.47),7.93,4.31
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,28,10.14,2.28 (1.86-2.70),248,89.86,3.72 (3.49-3.95),6.22,4.98
oligodendrocytes 10,735,0.173,82.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),1.45,8.97
connective tissue cells 21,100,0.301,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377,0.197,79.0,14,10,71.43,2.44 (0.87-4.00),4,28.57,1.43 (-0.74-3.61),2.74,1.73
oligodendrocytes 16,313,0.149,18.0,291,37,12.71,3.11 (2.65-3.57),254,87.29,4.52 (4.28-4.76),4.66,3.69
da neurons 6,409,0.164,67.0,235,12,5.11,2.56 (1.57-3.55),223,94.89,4.04 (3.78-4.29),3.63,4.46
astrocytes microglia 23,96,0.395,88.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,1807,0.152,64.0,104,12,11.54,1.78 (1.11-2.45),92,88.46,3.02 (2.72-3.31),9.36,4.88
oligodendrocytes 0,2078,0.123,67.0,238,8,3.36,2.12 (1.32-2.91),230,96.64,3.69 (3.47-3.91),4.75,5.03
microglia 1,1615,0.115,59.0,161,22,13.66,1.76 (1.18-2.33),139,86.34,3.56 (3.29-3.83),9.28,4.82
oligodendrocytes 3,681,0.057,14.0,87,13,14.94,1.83 (1.24-2.43),74,85.06,2.73 (2.44-3.02),4.41,4.21
oligodendrocytes 2,1630,0.128,24.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
