tipo_celular,module_size,IP6K1_MM,IP6K1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.112,19.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518,0.103,17.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.082,7.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50),11.17,4.94
oligodendrocyte progenitor cells 7,4285,0.109,16.0,353,38,10.76,2.70 (2.10-3.29),315,89.24,4.08 (3.90-4.27),24.79,6.05
GABA neurons expressing GLU receptors 22,1069,0.159,46.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1247,0.166,70.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853,0.127,48.0,133,23,17.29,2.01 (1.48-2.54),110,82.71,3.57 (3.23-3.91),5.47,3.89
GABA neurons expressing GABA receptors 13,86,0.225,85.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,1653,0.129,51.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,403,0.067,30.0,18,10,55.56,1.12 (0.57-1.68),8,44.44,2.82 (1.76-3.89),4.65,2.72
GABA like neurons 14,2090,0.137,38.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,354,0.073,21.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,33,11.96,3.17 (2.55-3.79),243,88.04,3.61 (3.38-3.84),10.72,4.35
oligodendrocytes 10,735,0.075,34.0,277,4,1.44,3.65 (3.42-3.88),273,98.56,3.90 (3.65-4.14),2.83,9.04
connective tissue cells 21,104,0.388,92.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,261,0.219,81.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,155,0.353,96.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,448,0.105,56.0,43,1,2.33,3.68 (NA-NA),42,97.67,3.27 (2.73-3.81),3.50,3.47
astrocytes microglia 23,134,0.261,20.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,787,0.128,14.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.129,27.0,300,4,1.33,3.61 (2.90-4.33),296,98.67,3.80 (3.59-4.00),9.77,4.08
microglia 1,1615,0.104,41.0,161,27,16.77,1.91 (1.40-2.42),134,83.23,3.61 (3.33-3.88),13.81,3.74
oligodendrocytes 3,1003,0.065,16.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.141,58.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
