tipo_celular,module_size,USP9X_MM,USP9X_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.191,65.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,477,0.207,77.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53),1.93,7.25
astrocytes 5,423,0.143,46.0,80,3,3.75,3.37 (1.09-5.65),77,96.25,3.40 (2.92-3.89),2.70,5.11
oligodendrocyte progenitor cells 7,666,0.163,48.0,127,23,18.11,2.83 (2.31-3.35),104,81.89,4.18 (3.79-4.56),3.75,6.30
GABA neurons expressing GLU receptors 22,1069,0.14,32.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316,0.132,57.0,101,5,4.95,3.32 (2.67-3.98),96,95.05,3.03 (2.66-3.40),3.29,3.04
da like neurons 11,209,0.129,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.207,69.0,237,9,3.8,3.98 (3.58-4.37),228,96.2,4.43 (4.19-4.67),5.44,4.13
endothelial cells 9,412,0.146,36.0,141,14,9.93,2.58 (1.92-3.24),127,90.07,3.00 (2.75-3.26),3.23,7.22
oligodendrocytes 20,358,0.052,18.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,3052,0.221,97.0,125,10,8.0,3.80 (3.26-4.35),115,92.0,3.32 (2.97-3.66),3.45,9.06
astrocytes 8,771,0.087,35.0,48,8,16.67,6.85 (4.45-9.25),40,83.33,3.99 (3.30-4.68),3.45,3.08
oligodendrocyte progenitor cells 12,3303,0.148,98.0,276,78,28.26,2.86 (2.57-3.16),198,71.74,3.90 (3.63-4.18),7.64,4.11
oligodendrocytes 10,2107,0.085,20.0,358,105,29.33,2.81 (2.53-3.09),253,70.67,4.48 (4.27-4.69),15.97,6.78
connective tissue cells 21,86,0.219,17.0,7,2,28.57,4.47 (3.98-4.97),5,71.43,2.70 (2.17-3.23),1.52,1.47
astrocytes 15,443,0.142,41.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,90,0.143,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.174,89.0,122,48,39.34,3.67 (3.01-4.33),74,60.66,4.26 (3.81-4.72),3.96,3.17
astrocytes microglia 23,255,0.292,74.0,57,13,22.81,3.33 (2.75-3.91),44,77.19,2.42 (2.00-2.84),2.63,3.54
astrocytes 4,752,0.15,45.0,96,20,20.83,3.39 (2.77-4.02),76,79.17,3.26 (2.87-3.65),2.90,4.69
oligodendrocytes 0,1186,0.205,100.0,300,22,7.33,4.08 (3.48-4.68),278,92.67,3.77 (3.55-3.98),4.63,4.12
microglia 1,480,0.204,57.0,163,17,10.43,3.66 (3.20-4.11),146,89.57,3.71 (3.42-4.01),4.25,5.27
oligodendrocytes 3,1003,0.132,77.0,111,2,1.8,7.59 (NA-NA),109,98.2,3.26 (2.92-3.60),1.66,4.28
oligodendrocytes 2,804,0.143,41.0,84,26,30.95,3.26 (2.73-3.78),58,69.05,2.35 (1.94-2.76),3.26,3.46
