tipo_celular,module_size,ATP6V1H_MM,ATP6V1H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.191,71.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48),2.14,4.03
T cells 18,610,0.113,21.0,98,21,21.43,2.38 (1.50-3.25),77,78.57,3.35 (3.06-3.65),6.18,3.45
astrocytes 5,423,0.171,64.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285,0.127,37.0,353,36,10.2,2.56 (1.93-3.19),317,89.8,4.09 (3.90-4.27),20.34,6.67
GABA neurons expressing GLU receptors 22,1069,0.158,45.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,300,0.16,22.0,16,2,12.5,2.43 (-0.78-5.64),14,87.5,2.02 (1.11-2.94),1.70,2.58
da like neurons 11,197,0.357,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.171,55.0,237,40,16.88,4.86 (4.48-5.25),197,83.12,4.30 (4.03-4.57),3.58,4.31
endothelial cells 9,338,0.087,23.0,191,50,26.18,4.46 (4.09-4.83),141,73.82,3.64 (3.38-3.91),5.17,10.57
oligodendrocytes 20,275,0.121,19.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.07,5.0,306,26,8.5,2.61 (2.14-3.08),280,91.5,5.45 (5.20-5.71),4.86,6.88
astrocytes 8,577,0.155,83.0,83,3,3.61,1.75 (0.81-2.69),80,96.39,3.32 (2.86-3.78),2.86,4.53
oligodendrocyte progenitor cells 12,3303,0.124,91.0,276,24,8.7,2.55 (1.97-3.13),252,91.3,3.66 (3.44-3.89),8.36,4.80
oligodendrocytes 10,735,0.128,67.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),2.03,8.97
connective tissue cells 21,111,0.307,65.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,261,0.098,21.0,8,6,75.0,3.58 (1.19-5.97),2,25.0,4.26 (NA-NA),1.74,2.10
oligodendrocytes 16,313,0.148,18.0,291,75,25.77,4.08 (3.76-4.40),216,74.23,4.43 (4.14-4.72),5.26,3.31
da neurons 6,300,0.26,80.0,159,14,8.81,4.43 (3.73-5.13),145,91.19,4.36 (4.03-4.69),3.21,3.78
astrocytes microglia 23,327,0.228,17.0,120,28,23.33,2.21 (1.61-2.81),92,76.67,3.97 (3.67-4.27),3.48,2.59
astrocytes 4,514,0.235,72.0,95,5,5.26,1.76 (0.49-3.02),90,94.74,3.49 (3.06-3.92),2.82,4.74
oligodendrocytes 0,2078,0.097,17.0,238,13,5.46,3.72 (2.57-4.88),225,94.54,3.63 (3.41-3.85),5.88,4.97
microglia 1,958,0.097,27.0,290,7,2.41,1.46 (1.06-1.86),283,97.59,3.89 (3.66-4.12),5.06,5.00
oligodendrocytes 3,457,0.079,27.0,345,76,22.03,4.14 (3.81-4.48),269,77.97,4.32 (4.06-4.57),8.76,4.82
oligodendrocytes 2,921,0.118,21.0,200,6,3.0,3.49 (1.73-5.24),194,97.0,3.63 (3.36-3.90),2.32,3.50
