tipo_celular,module_size,ZYG11B_MM,ZYG11B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.165,21.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624,0.106,16.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932,0.086,16.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.145,65.0,353,29,8.22,2.78 (2.26-3.29),324,91.78,4.02 (3.83-4.22),16.35,7.32
GABA neurons expressing GLU receptors 22,848,0.306,77.0,262,14,5.34,2.91 (2.15-3.67),248,94.66,4.26 (4.01-4.51),5.32,4.04
GLU like neurons 17,1316,0.148,71.0,101,2,1.98,4.35 (3.76-4.94),99,98.02,3.02 (2.66-3.37),3.49,3.05
da like neurons 11,200,0.158,39.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,238,0.175,57.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.126,46.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,228,0.186,45.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24),1.66,2.66
GABA like neurons 14,2402,0.139,21.0,455,28,6.15,3.82 (3.07-4.58),427,93.85,4.39 (4.20-4.58),10.46,8.73
astrocytes 8,520,0.083,33.0,288,15,5.21,3.09 (2.45-3.73),273,94.79,4.25 (4.05-4.46),3.30,4.76
oligodendrocyte progenitor cells 12,3303,0.076,46.0,276,32,11.59,2.69 (2.23-3.14),244,88.41,3.70 (3.46-3.93),9.02,4.60
oligodendrocytes 10,806,0.16,51.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,102,0.285,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261,0.137,43.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71),NA,1.83
oligodendrocytes 16,121,0.154,11.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80),2.92,1.68
da neurons 6,553,0.176,76.0,124,1,0.81,4.15 (NA-NA),123,99.19,4.18 (3.79-4.58),2.44,3.04
astrocytes microglia 23,103,0.299,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.162,71.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.111,43.0,238,9,3.78,3.47 (2.49-4.45),229,96.22,3.64 (3.42-3.87),5.91,4.99
microglia 1,1615,0.081,11.0,161,24,14.91,2.55 (1.99-3.11),137,85.09,3.43 (3.14-3.73),6.01,5.33
oligodendrocytes 3,457,0.046,6.0,345,11,3.19,4.14 (3.74-4.53),334,96.81,4.28 (4.06-4.50),5.08,5.71
oligodendrocytes 2,921,0.162,85.0,200,4,2.0,3.32 (2.24-4.41),196,98.0,3.63 (3.36-3.90),6.69,3.40
