tipo_celular,module_size,PACS1_MM,PACS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.133,17.0,140,1,0.71,2.43 (NA-NA),139,99.29,4.57 (4.29-4.86),4.20,3.54
T cells 18,388,0.239,83.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,322,0.092,7.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60),NA,2.32
oligodendrocyte progenitor cells 7,4285,0.158,84.0,353,11,3.12,2.08 (1.24-2.91),342,96.88,3.97 (3.78-4.15),23.55,7.57
GABA neurons expressing GLU receptors 22,1069,0.126,22.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.116,36.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25),3.35,3.23
da like neurons 11,853,0.307,98.0,133,4,3.01,2.44 (0.91-3.96),129,96.99,3.28 (2.97-3.60),3.68,4.18
GABA neurons expressing GABA receptors 13,288,0.114,17.0,93,1,1.08,8.28 (NA-NA),92,98.92,5.10 (4.61-5.60),1.53,3.98
endothelial cells 9,1653,0.169,78.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,938,0.07,23.0,169,5,2.96,2.14 (0.67-3.61),164,97.04,3.53 (3.31-3.75),2.90,5.44
GABA like neurons 14,1300,0.363,98.0,306,10,3.27,3.79 (1.93-5.65),296,96.73,5.15 (4.89-5.41),2.65,6.84
astrocytes 8,1266,0.169,91.0,66,4,6.06,1.67 (0.26-3.08),62,93.94,3.34 (2.92-3.77),4.43,2.86
oligodendrocyte progenitor cells 12,218,0.074,28.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.346,94.0,358,10,2.79,2.09 (1.16-3.01),348,97.21,3.93 (3.74-4.12),20.04,9.17
connective tissue cells 21,139,0.263,25.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1401,0.101,64.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09),3.60,3.80
oligodendrocytes 16,108,0.14,22.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,398,0.087,13.0,138,3,2.17,1.44 (-0.60-3.49),135,97.83,4.91 (4.55-5.27),3.84,2.71
astrocytes microglia 23,91,0.255,47.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,201,0.13,18.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,309,0.103,18.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315,0.126,27.0,144,1,0.69,2.43 (NA-NA),143,99.31,4.48 (4.17-4.78),3.63,4.21
oligodendrocytes 3,94,0.066,30.0,7,2,28.57,8.28 (8.28-8.28),5,71.43,2.97 (1.07-4.87),1.60,4.72
oligodendrocytes 2,347,0.174,40.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
