tipo_celular,module_size,TM9SF4_MM,TM9SF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.184,72.0,71,7,9.86,2.83 (1.75-3.90),64,90.14,2.59 (2.15-3.04),1.74,3.78
T cells 18,282,0.127,34.0,241,2,0.83,5.38 (2.42-8.34),239,99.17,4.04 (3.79-4.29),1.98,4.36
astrocytes 5,932,0.094,27.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285,0.174,95.0,353,29,8.22,2.37 (1.86-2.87),324,91.78,4.07 (3.88-4.26),21.43,6.87
GABA neurons expressing GLU receptors 22,703,0.162,35.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1316,0.1,28.0,101,3,2.97,3.47 (2.71-4.23),98,97.03,3.04 (2.67-3.40),2.33,3.08
da like neurons 11,97,0.097,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,86,0.164,46.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,303,0.056,5.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,233,0.224,67.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.121,35.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,260,0.034,3.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.081,52.0,276,20,7.25,2.60 (2.14-3.06),256,92.75,3.64 (3.41-3.87),8.12,4.88
oligodendrocytes 10,2107,0.076,15.0,358,30,8.38,2.12 (1.63-2.60),328,91.62,4.08 (3.89-4.27),16.13,8.86
connective tissue cells 21,145,0.323,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,377,0.131,34.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,156,0.15,12.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,518,0.077,13.0,122,27,22.13,2.48 (2.00-2.97),95,77.87,4.60 (4.16-5.04),4.86,3.09
astrocytes microglia 23,110,0.259,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.144,36.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.128,79.0,238,7,2.94,2.77 (1.76-3.78),231,97.06,3.67 (3.44-3.89),8.83,4.91
microglia 1,813,0.129,63.0,79,4,5.06,4.22 (1.53-6.91),75,94.94,3.04 (2.64-3.43),2.78,8.17
oligodendrocytes 3,1003,0.053,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630,0.139,44.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
