tipo_celular,module_size,APLP2_MM,APLP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.135,7.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282,0.171,56.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,228,0.16,42.0,266,31,11.65,2.99 (2.21-3.76),235,88.35,4.27 (4.07-4.48),8.20,4.55
oligodendrocyte progenitor cells 7,296,0.205,64.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848,0.451,96.0,262,38,14.5,4.26 (3.40-5.13),224,85.5,4.14 (3.89-4.39),7.36,3.55
GLU like neurons 17,685,0.036,2.0,135,16,11.85,1.83 (1.25-2.42),119,88.15,3.35 (3.03-3.67),4.53,3.64
da like neurons 11,1220,0.268,75.0,410,20,4.88,3.26 (2.67-3.85),390,95.12,4.30 (4.10-4.49),16.08,7.08
GABA neurons expressing GABA receptors 13,357,0.397,97.0,237,2,0.84,6.60 (NA-NA),235,99.16,4.40 (4.16-4.63),2.42,4.20
endothelial cells 9,559,0.157,50.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,938,0.165,68.0,169,20,11.83,2.76 (2.09-3.44),149,88.17,3.56 (3.33-3.79),7.47,5.08
GABA like neurons 14,2402,0.495,88.0,455,30,6.59,2.11 (1.57-2.65),425,93.41,4.52 (4.34-4.70),24.59,7.72
astrocytes 8,520,0.231,76.0,288,20,6.94,3.26 (2.39-4.13),268,93.06,4.23 (4.03-4.44),12.25,4.12
oligodendrocyte progenitor cells 12,3303,0.09,64.0,276,12,4.35,1.59 (1.21-1.97),264,95.65,3.65 (3.43-3.87),13.28,4.74
oligodendrocytes 10,735,0.315,100.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,142,0.347,71.0,55,6,10.91,2.24 (0.69-3.78),49,89.09,3.74 (2.79-4.69),2.80,3.35
astrocytes 15,338,0.187,73.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,313,0.348,80.0,291,10,3.44,2.70 (1.90-3.49),281,96.56,4.39 (4.16-4.61),6.04,3.74
da neurons 6,300,0.31,88.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67),2.05,3.74
astrocytes microglia 23,76,0.244,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.163,37.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,613,0.178,79.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,214,0.154,41.0,227,11,4.85,3.51 (2.30-4.72),216,95.15,4.11 (3.87-4.35),14.64,5.69
oligodendrocytes 3,457,0.165,71.0,345,18,5.22,2.95 (2.39-3.52),327,94.78,4.34 (4.13-4.55),16.28,5.11
oligodendrocytes 2,528,0.241,70.0,175,17,9.71,3.35 (2.82-3.88),158,90.29,4.48 (4.10-4.85),13.27,3.69
