tipo_celular,module_size,UBE2E3_MM,UBE2E3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.079,5.0,71,2,2.82,1.71 (-1.24-4.67),69,97.18,2.65 (2.24-3.07),1.77,3.63
T cells 18,393,0.134,38.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1141,0.173,92.0,166,26,15.66,2.50 (1.89-3.12),140,84.34,3.56 (3.29-3.83),8.23,3.87
oligodendrocyte progenitor cells 7,448,0.096,17.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.227,78.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,685,0.198,76.0,135,7,5.19,1.37 (0.71-2.03),128,94.81,3.31 (3.00-3.62),5.81,3.64
da like neurons 11,132,0.193,38.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,200,0.12,21.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,1653,0.129,52.0,297,11,3.7,4.06 (3.15-4.97),286,96.3,3.66 (3.46-3.87),9.95,5.35
oligodendrocytes 20,330,0.182,54.0,36,4,11.11,1.97 (1.34-2.60),32,88.89,1.91 (1.53-2.30),5.12,2.88
GABA like neurons 14,2402,0.256,57.0,455,21,4.62,1.97 (1.27-2.66),434,95.38,4.50 (4.32-4.68),22.79,8.16
astrocytes 8,727,0.083,33.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,143,0.428,49.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.099,28.0,358,37,10.34,2.17 (1.63-2.70),321,89.66,4.08 (3.89-4.27),31.87,6.89
connective tissue cells 21,112,0.24,50.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,338,0.187,74.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,121,0.233,64.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,553,0.068,4.0,124,14,11.29,3.48 (2.20-4.76),110,88.71,4.24 (3.83-4.65),2.81,3.06
astrocytes microglia 23,58,0.261,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.163,64.0,96,6,6.25,4.95 (4.11-5.79),90,93.75,3.22 (2.89-3.56),3.09,4.40
oligodendrocytes 0,309,0.172,78.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,958,0.123,67.0,290,6,2.07,1.96 (NA-NA),284,97.93,3.82 (3.59-4.05),5.02,5.00
oligodendrocytes 3,1003,0.156,87.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,804,0.166,66.0,84,18,21.43,2.95 (2.09-3.81),66,78.57,2.62 (2.26-2.99),4.50,3.10
