tipo_celular,module_size,ARPC2_MM,ARPC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.117,18.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,393,0.22,79.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656,0.102,29.0,136,2,1.47,6.31 (6.31-6.31),134,98.53,3.16 (2.89-3.42),2.11,5.03
oligodendrocyte progenitor cells 7,4285,0.138,54.0,353,26,7.37,2.00 (1.37-2.62),327,92.63,4.09 (3.91-4.27),31.70,6.18
GABA neurons expressing GLU receptors 22,487,0.182,36.0,73,4,5.48,2.70 (1.24-4.16),69,94.52,2.76 (2.36-3.16),4.25,7.51
GLU like neurons 17,300,0.18,42.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,59,0.155,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,67,0.178,47.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916,0.142,29.0,302,10,3.31,3.00 (1.84-4.17),292,96.69,4.01 (3.78-4.24),12.18,10.60
oligodendrocytes 20,938,0.102,38.0,169,16,9.47,2.96 (1.91-4.00),153,90.53,3.52 (3.30-3.74),8.70,5.01
GABA like neurons 14,2402,0.287,63.0,455,28,6.15,2.12 (1.51-2.72),427,93.85,4.50 (4.32-4.68),24.56,7.80
astrocytes 8,520,0.088,36.0,288,20,6.94,3.60 (2.78-4.43),268,93.06,4.21 (4.00-4.41),8.61,4.39
oligodendrocyte progenitor cells 12,1049,0.031,3.0,235,8,3.4,3.59 (2.99-4.20),227,96.6,3.83 (3.59-4.07),15.48,7.34
oligodendrocytes 10,483,0.171,67.0,129,8,6.2,4.21 (3.48-4.94),121,93.8,3.39 (2.98-3.80),15.52,19.43
connective tissue cells 21,104,0.229,21.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1768,0.046,10.0,105,10,9.52,1.50 (1.02-1.98),95,90.48,3.41 (3.06-3.76),9.13,3.44
oligodendrocytes 16,84,0.208,73.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,729,0.145,46.0,182,7,3.85,2.37 (1.73-3.01),175,96.15,3.68 (3.42-3.94),8.81,8.51
astrocytes microglia 23,327,0.293,36.0,120,20,16.67,2.15 (1.31-2.99),100,83.33,3.86 (3.56-4.15),4.06,2.54
astrocytes 4,1807,0.137,34.0,104,11,10.58,1.70 (1.04-2.36),93,89.42,3.01 (2.72-3.30),16.68,4.06
oligodendrocytes 0,2078,0.106,32.0,238,4,1.68,3.76 (0.77-6.76),234,98.32,3.63 (3.41-3.85),6.23,5.00
microglia 1,480,0.139,23.0,163,5,3.07,5.04 (2.98-7.10),158,96.93,3.68 (3.41-3.95),2.08,5.27
oligodendrocytes 3,357,0.046,7.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43),2.48,4.25
oligodendrocytes 2,1630,0.138,43.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
