tipo_celular,module_size,TAOK3_MM,TAOK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.111,16.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47),4.44,4.91
T cells 18,388,0.073,7.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29),1.61,4.39
astrocytes 5,118,0.255,80.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436,0.12,43.0,219,20,9.13,5.26 (4.31-6.21),199,90.87,5.20 (4.90-5.50),8.51,4.22
GABA neurons expressing GLU receptors 22,823,0.077,3.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,300,0.121,7.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,265,0.26,77.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,288,0.174,52.0,93,26,27.96,4.52 (3.61-5.42),67,72.04,5.51 (4.95-6.07),6.22,3.07
endothelial cells 9,1653,0.186,85.0,297,13,4.38,3.43 (3.19-3.68),284,95.62,3.69 (3.47-3.90),5.74,5.51
oligodendrocytes 20,228,0.166,38.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,1300,0.25,70.0,306,50,16.34,3.88 (3.33-4.44),256,83.66,5.47 (5.20-5.74),11.94,5.68
astrocytes 8,279,0.318,72.0,78,21,26.92,3.21 (2.66-3.76),57,73.08,4.78 (4.30-5.27),2.73,2.70
oligodendrocyte progenitor cells 12,411,0.27,68.0,103,11,10.68,5.62 (4.23-7.00),92,89.32,5.54 (5.14-5.93),4.17,2.95
oligodendrocytes 10,2107,0.314,91.0,358,46,12.85,2.53 (2.17-2.90),312,87.15,4.14 (3.94-4.34),13.09,8.94
connective tissue cells 21,100,0.184,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208,0.351,70.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA),2.86,2.77
oligodendrocytes 16,90,0.088,0.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,398,0.141,47.0,138,32,23.19,3.08 (2.61-3.54),106,76.81,5.48 (5.09-5.88),2.47,2.81
astrocytes microglia 23,327,0.196,10.0,120,34,28.33,2.77 (2.29-3.26),86,71.67,4.03 (3.69-4.37),3.23,2.62
astrocytes 4,251,0.121,16.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,1186,0.158,72.0,300,21,7.0,3.73 (3.45-4.01),279,93.0,3.80 (3.58-4.02),5.23,4.07
microglia 1,480,0.088,3.0,163,24,14.72,4.20 (3.74-4.66),139,85.28,3.61 (3.31-3.92),3.98,5.37
oligodendrocytes 3,1003,0.135,78.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,407,0.169,65.0,122,14,11.48,1.50 (1.07-1.93),108,88.52,3.64 (3.23-4.05),2.97,2.67
