tipo_celular,module_size,BTBD9_MM,BTBD9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.212,68.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,388,0.203,74.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,118,0.156,7.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448,0.092,14.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459,0.18,59.0,165,9,5.45,2.11 (1.35-2.86),156,94.55,5.29 (4.96-5.62),3.99,4.10
GLU like neurons 17,489,0.132,45.0,42,4,9.52,5.01 (4.99-5.03),38,90.48,6.14 (5.52-6.77),2.92,3.24
da like neurons 11,97,0.389,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101,0.135,26.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,586,0.368,77.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,403,0.228,85.0,18,1,5.56,0.95 (NA-NA),17,94.44,1.93 (1.22-2.64),5.43,3.70
GABA like neurons 14,1300,0.303,89.0,306,18,5.88,3.20 (2.33-4.07),288,94.12,5.26 (5.00-5.53),9.70,6.52
astrocytes 8,262,0.274,93.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,138,0.409,22.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.202,70.0,358,9,2.51,0.83 (0.45-1.21),349,97.49,3.95 (3.77-4.14),16.74,9.29
connective tissue cells 21,92,0.264,40.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,268,0.218,78.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,149,0.194,45.0,70,8,11.43,5.06 (4.77-5.35),62,88.57,5.75 (5.20-6.29),3.08,3.34
da neurons 6,398,0.151,51.0,138,10,7.25,2.02 (1.05-2.99),128,92.75,5.09 (4.73-5.44),2.75,2.73
astrocytes microglia 23,327,0.164,4.0,120,10,8.33,1.76 (1.05-2.46),110,91.67,3.82 (3.53-4.12),4.29,2.66
astrocytes 4,514,0.162,37.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90),3.47,4.68
oligodendrocytes 0,479,0.147,46.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,958,0.125,69.0,290,3,1.03,0.90 (0.75-1.04),287,98.97,3.85 (3.62-4.08),6.05,4.99
oligodendrocytes 3,639,0.129,74.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,804,0.212,94.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
