tipo_celular,module_size,ACSL4_MM,ACSL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.133,11.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,282,0.103,23.0,241,16,6.64,4.06 (3.56-4.56),225,93.36,4.05 (3.78-4.33),4.48,4.33
astrocytes 5,423,0.118,27.0,80,4,5.0,3.85 (2.01-5.68),76,95.0,3.37 (2.88-3.87),2.25,5.17
oligodendrocyte progenitor cells 7,666,0.156,41.0,127,24,18.9,3.05 (2.35-3.76),103,81.1,4.07 (3.70-4.44),3.97,6.27
GABA neurons expressing GLU receptors 22,848,0.159,28.0,262,41,15.65,3.88 (3.41-4.35),221,84.35,4.23 (3.94-4.51),6.34,3.69
GLU like neurons 17,1316,0.12,47.0,101,3,2.97,3.47 (1.21-5.72),98,97.03,3.04 (2.68-3.39),2.63,3.07
da like neurons 11,209,0.156,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,265,0.143,40.0,78,15,19.23,3.79 (3.11-4.47),63,80.77,4.55 (4.05-5.04),3.87,4.36
endothelial cells 9,412,0.165,45.0,141,10,7.09,3.61 (2.11-5.10),131,92.91,2.91 (2.68-3.13),3.88,7.04
oligodendrocytes 20,403,0.122,50.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,3052,0.222,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.164,63.0,288,43,14.93,3.60 (3.23-3.97),245,85.07,4.30 (4.07-4.52),8.69,3.98
oligodendrocyte progenitor cells 12,3303,0.156,99.0,276,26,9.42,2.36 (1.92-2.79),250,90.58,3.70 (3.47-3.93),6.88,4.93
oligodendrocytes 10,2107,0.063,10.0,358,32,8.94,1.89 (1.45-2.32),326,91.06,4.13 (3.95-4.32),19.69,8.47
connective tissue cells 21,152,0.411,91.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1401,0.033,5.0,96,9,9.38,3.23 (1.93-4.54),87,90.62,3.66 (3.18-4.14),4.43,3.73
oligodendrocytes 16,74,0.154,33.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,300,0.246,76.0,159,10,6.29,6.35 (6.08-6.62),149,93.71,4.19 (3.87-4.50),3.04,3.78
astrocytes microglia 23,83,0.306,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.119,9.0,95,8,8.42,3.75 (2.04-5.46),87,91.58,3.32 (2.90-3.75),2.49,4.84
oligodendrocytes 0,1186,0.133,31.0,300,5,1.67,2.98 (2.42-3.54),295,98.33,3.81 (3.60-4.02),6.00,4.12
microglia 1,958,0.198,98.0,290,25,8.62,3.19 (2.43-3.95),265,91.38,3.89 (3.65-4.13),5.45,4.96
oligodendrocytes 3,639,0.088,44.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13),2.82,1.92
oligodendrocytes 2,804,0.156,55.0,84,6,7.14,1.33 (0.67-1.99),78,92.86,2.82 (2.48-3.17),3.29,3.40
