tipo_celular,module_size,CBX7_MM,CBX7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.09,9.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,477,0.126,25.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,932,0.091,22.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285,0.086,4.0,353,56,15.86,2.05 (1.77-2.34),297,84.14,4.36 (4.18-4.53),22.93,5.26
GABA neurons expressing GLU receptors 22,567,0.119,16.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,489,0.122,38.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,1220,0.096,13.0,410,4,0.98,1.42 (0.49-2.35),406,99.02,4.29 (4.10-4.47),11.46,7.48
GABA neurons expressing GABA receptors 13,77,0.195,66.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,586,0.098,18.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,295,0.119,21.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44),1.98,3.51
GABA like neurons 14,2090,0.129,31.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58),3.27,12.04
astrocytes 8,771,0.029,2.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.031,2.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806,0.09,23.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,114,0.121,1.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,1401,0.061,27.0,96,4,4.17,2.17 (1.17-3.16),92,95.83,3.69 (3.23-4.15),4.84,3.75
oligodendrocytes 16,74,0.242,85.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,448,0.132,75.0,43,6,13.95,3.78 (3.48-4.08),37,86.05,3.18 (2.56-3.80),2.80,3.58
astrocytes microglia 23,161,0.38,90.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807,0.15,60.0,104,26,25.0,1.70 (1.37-2.03),78,75.0,3.29 (2.98-3.60),11.47,3.37
oligodendrocytes 0,1186,0.121,17.0,300,9,3.0,3.47 (2.81-4.13),291,97.0,3.81 (3.59-4.02),7.35,4.06
microglia 1,1615,0.124,69.0,161,51,31.68,2.01 (1.72-2.31),110,68.32,4.07 (3.78-4.35),10.04,3.29
oligodendrocytes 3,681,0.098,54.0,87,56,64.37,2.37 (2.08-2.66),31,35.63,3.07 (2.51-3.64),5.08,2.72
oligodendrocytes 2,921,0.159,82.0,200,2,1.0,2.25 (0.43-4.07),198,99.0,3.64 (3.37-3.91),7.91,3.42
