tipo_celular,module_size,LYPLA1_MM,LYPLA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.212,60.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,282.0,0.193,66.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.105,33.0,136,3,2.21,2.85 (1.11-4.60),133,97.79,3.21 (2.94-3.49),2.78,5.04
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,34,9.63,2.03 (1.61-2.45),319,90.37,4.15 (3.96-4.33),30.01,5.72
GABA neurons expressing GLU receptors 22,823.0,0.144,28.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1247.0,0.101,26.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,197.0,0.146,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.082,3.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,658.0,0.101,13.0,120,6,5.0,2.74 (2.36-3.11),114,95.0,4.72 (4.40-5.04),3.67,3.65
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.169,60.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,727.0,0.062,19.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.043,10.0,32,8,25.0,1.36 (0.39-2.33),24,75.0,4.00 (3.13-4.87),3.67,2.24
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.49,100.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,1768.0,0.082,47.0,105,21,20.0,2.19 (1.72-2.67),84,80.0,3.49 (3.11-3.88),7.44,3.11
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.078,12.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,134.0,0.275,25.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA),2.03,1.45
astrocytes 4,1807.0,0.141,44.0,104,24,23.08,2.36 (1.87-2.84),80,76.92,3.03 (2.70-3.36),11.20,3.66
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.104,41.0,161,26,16.15,1.91 (1.41-2.41),135,83.85,3.61 (3.33-3.88),14.61,3.66
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
