tipo_celular,module_size,EEF2_MM,EEF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.231,47.0,98,20,20.41,2.26 (1.67-2.85),78,79.59,3.48 (2.92-4.04),14.34,13.23
T cells 18,506,0.286,75.0,225,37,16.44,2.52 (2.06-2.99),188,83.56,3.79 (3.52-4.06),11.77,7.14
astrocytes 5,228,0.193,58.0,266,35,13.16,2.36 (1.63-3.08),231,86.84,4.29 (4.08-4.49),8.17,4.50
oligodendrocyte progenitor cells 7,628,0.293,90.0,164,8,4.88,3.51 (2.46-4.56),156,95.12,4.12 (3.78-4.45),4.57,7.68
GABA neurons expressing GLU receptors 22,487,0.379,89.0,73,5,6.85,1.64 (1.24-2.04),68,93.15,2.85 (2.44-3.26),4.88,7.51
GLU like neurons 17,685,0.142,57.0,135,46,34.07,2.25 (1.83-2.66),89,65.93,3.59 (3.22-3.96),4.46,3.38
da like neurons 11,1220,0.372,90.0,410,39,9.51,3.00 (2.42-3.58),371,90.49,4.33 (4.14-4.52),12.51,6.99
GABA neurons expressing GABA receptors 13,357,0.083,6.0,237,6,2.53,4.19 (2.28-6.10),231,97.47,4.41 (4.18-4.64),4.51,4.18
endothelial cells 9,916,0.213,52.0,302,13,4.3,2.62 (1.54-3.71),289,95.7,4.03 (3.80-4.25),5.90,10.87
oligodendrocytes 20,358,0.121,34.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402,0.462,85.0,455,58,12.75,2.41 (1.85-2.97),397,87.25,4.60 (4.42-4.77),17.56,7.56
astrocytes 8,520,0.256,81.0,288,34,11.81,2.68 (2.14-3.21),254,88.19,4.29 (4.09-4.49),9.45,4.05
oligodendrocyte progenitor cells 12,1049,0.106,58.0,235,21,8.94,3.12 (2.59-3.66),214,91.06,3.88 (3.63-4.12),9.89,7.39
oligodendrocytes 10,483,0.314,83.0,129,11,8.53,3.94 (2.85-5.03),118,91.47,3.37 (2.95-3.79),9.73,20.07
connective tissue cells 21,301,0.452,70.0,158,18,11.39,2.17 (1.53-2.80),140,88.61,4.49 (4.12-4.87),11.95,6.44
astrocytes 15,418,0.036,16.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,91,0.248,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228,0.174,86.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,95,0.344,63.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,157,0.193,58.0,178,18,10.11,2.10 (1.28-2.92),160,89.89,4.37 (4.11-4.62),6.87,4.23
oligodendrocytes 0,546,0.213,70.0,252,49,19.44,2.11 (1.70-2.52),203,80.56,4.56 (4.32-4.80),13.48,6.94
microglia 1,406,0.252,62.0,278,3,1.08,4.38 (2.63-6.14),275,98.92,4.36 (4.09-4.64),6.02,6.74
oligodendrocytes 3,457,0.195,80.0,345,32,9.28,3.21 (2.71-3.71),313,90.72,4.33 (4.12-4.55),10.92,5.16
oligodendrocytes 2,528,0.375,92.0,175,28,16.0,3.27 (2.56-3.98),147,84.0,4.51 (4.13-4.88),8.82,3.82
