tipo_celular,module_size,IST1_MM,IST1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.205,47.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,518,0.155,51.0,131,2,1.53,2.77 (1.34-4.20),129,98.47,3.08 (2.80-3.36),1.81,4.80
astrocytes 5,932,0.078,8.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,44,12.46,2.16 (1.80-2.53),309,87.54,4.20 (4.02-4.39),20.52,6.29
GABA neurons expressing GLU receptors 22,487,0.347,85.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19),2.37,7.54
GLU like neurons 17,489,0.105,27.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,215,0.13,26.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,88,0.358,100.0,2,1,50.0,NA,1,50.0,NA,1.72,1.62
endothelial cells 9,385,0.111,57.0,275,44,16.0,2.30 (1.84-2.76),231,84.0,4.35 (4.08-4.62),7.35,5.60
oligodendrocytes 20,676,0.043,16.0,110,15,13.64,2.46 (1.71-3.20),95,86.36,5.45 (5.03-5.88),2.97,3.61
GABA like neurons 14,2090,0.091,10.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34),2.12,10.61
astrocytes 8,218,0.055,29.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.044,10.0,276,35,12.68,2.31 (1.93-2.68),241,87.32,3.76 (3.52-3.99),8.11,4.68
oligodendrocytes 10,483,0.051,11.0,129,6,4.65,4.11 (3.50-4.73),123,95.35,3.39 (2.98-3.80),4.86,19.89
connective tissue cells 21,96,0.327,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.095,59.0,96,13,13.54,2.75 (2.06-3.43),83,86.46,3.77 (3.26-4.28),3.90,3.78
oligodendrocytes 16,75,0.186,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.08,23.0,43,2,4.65,NA,41,95.35,3.28 (2.76-3.80),2.43,3.52
astrocytes microglia 23,124,0.403,90.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,721,0.168,79.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078,0.122,66.0,238,9,3.78,2.44 (1.56-3.33),229,96.22,3.68 (3.45-3.90),3.76,5.07
microglia 1,958,0.116,58.0,290,25,8.62,2.67 (2.12-3.21),265,91.38,3.94 (3.70-4.18),5.29,4.97
oligodendrocytes 3,743,0.038,2.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.16,84.0,200,10,5.0,2.88 (2.42-3.35),190,95.0,3.66 (3.39-3.94),3.33,3.47
