tipo_celular,module_size,GHITM_MM,GHITM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.28,81.0,140,4,2.86,2.33 (1.77-2.90),136,97.14,4.61 (4.18-5.04),2.52,3.60
T cells 18,282,0.26,83.0,241,11,4.56,3.14 (2.62-3.66),230,95.44,4.12 (3.86-4.38),3.39,4.38
astrocytes 5,228,0.253,79.0,266,62,23.31,2.97 (2.66-3.28),204,76.69,4.59 (4.36-4.82),7.23,4.30
oligodendrocyte progenitor cells 7,296,0.322,90.0,251,9,3.59,3.08 (2.63-3.52),242,96.41,4.12 (3.87-4.37),3.80,6.24
GABA neurons expressing GLU receptors 22,848,0.243,62.0,262,17,6.49,2.54 (1.70-3.37),245,93.51,4.28 (4.03-4.53),9.17,3.75
GLU like neurons 17,380,0.154,38.0,39,2,5.13,1.90 (1.59-2.22),37,94.87,3.03 (2.45-3.61),2.40,2.58
da like neurons 11,1220,0.378,91.0,410,49,11.95,3.42 (3.07-3.77),361,88.05,4.40 (4.19-4.60),16.30,6.32
GABA neurons expressing GABA receptors 13,266,0.199,70.0,118,6,5.08,3.63 (3.25-4.01),112,94.92,4.81 (4.44-5.19),2.55,4.07
endothelial cells 9,338,0.193,71.0,191,15,7.85,3.29 (2.91-3.67),176,92.15,3.95 (3.71-4.19),2.53,9.72
oligodendrocytes 20,221,0.177,41.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402,0.435,83.0,455,42,9.23,2.89 (2.40-3.39),413,90.77,4.53 (4.34-4.72),24.38,7.25
astrocytes 8,520,0.349,92.0,288,33,11.46,3.25 (2.81-3.69),255,88.54,4.31 (4.10-4.53),9.29,4.09
oligodendrocyte progenitor cells 12,3303,0.057,22.0,276,14,5.07,1.83 (1.40-2.27),262,94.93,3.66 (3.44-3.89),6.52,5.03
oligodendrocytes 10,806,0.375,88.0,261,34,13.03,3.23 (2.84-3.63),227,86.97,4.57 (4.30-4.84),5.87,6.09
connective tissue cells 21,101,0.387,69.0,116,34,29.31,2.98 (2.58-3.38),82,70.69,5.57 (5.13-6.01),3.83,2.96
astrocytes 15,418,0.026,6.0,54,26,48.15,3.47 (3.09-3.86),28,51.85,3.93 (3.08-4.77),3.11,2.92
oligodendrocytes 16,313,0.41,88.0,291,36,12.37,3.33 (3.00-3.65),255,87.63,4.52 (4.27-4.77),4.51,3.72
da neurons 6,300,0.248,77.0,159,2,1.26,3.50 (3.00-4.01),157,98.74,4.38 (4.07-4.69),1.59,3.76
astrocytes microglia 23,47,0.411,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.203,61.0,178,45,25.28,2.76 (2.36-3.16),133,74.72,4.76 (4.50-5.03),7.19,3.59
oligodendrocytes 0,116,0.141,40.0,169,7,4.14,2.47 (2.32-2.61),162,95.86,4.38 (4.08-4.69),4.56,6.57
microglia 1,214,0.265,74.0,227,38,16.74,3.36 (3.03-3.70),189,83.26,4.28 (4.00-4.56),11.09,5.12
oligodendrocytes 3,457,0.251,90.0,345,25,7.25,3.16 (2.75-3.57),320,92.75,4.38 (4.16-4.60),12.32,5.17
oligodendrocytes 2,99,0.247,53.0,116,5,4.31,2.52 (2.42-2.62),111,95.69,4.04 (3.73-4.35),3.78,7.39
