tipo_celular,module_size,TNKS_MM,TNKS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.152,42.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,624,0.098,11.0,142,16,11.27,3.67 (3.33-4.01),126,88.73,3.16 (2.86-3.45),3.14,4.44
astrocytes 5,1141,0.149,74.0,166,64,38.55,2.72 (2.40-3.05),102,61.45,3.88 (3.55-4.21),5.54,3.93
oligodendrocyte progenitor cells 7,666,0.04,1.0,127,19,14.96,2.85 (2.26-3.44),108,85.04,4.11 (3.73-4.49),4.13,6.14
GABA neurons expressing GLU receptors 22,459,0.124,30.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62),3.28,4.13
GLU like neurons 17,795,0.171,68.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15),1.71,3.06
da like neurons 11,197,0.266,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.127,24.0,93,7,7.53,2.52 (1.14-3.89),86,92.47,5.43 (4.95-5.91),3.31,4.00
endothelial cells 9,1653,0.2,89.0,297,34,11.45,4.13 (3.60-4.65),263,88.55,3.62 (3.41-3.84),5.63,5.50
oligodendrocytes 20,676,0.413,69.0,110,15,13.64,2.70 (1.80-3.61),95,86.36,5.41 (4.97-5.84),3.38,3.55
GABA like neurons 14,1300,0.218,55.0,306,32,10.46,2.80 (2.33-3.28),274,89.54,5.48 (5.23-5.74),4.78,6.93
astrocytes 8,771,0.131,52.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,411,0.257,65.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,236,0.496,51.0,82,5,6.1,3.50 (2.85-4.16),77,93.9,5.12 (4.57-5.67),2.79,3.90
connective tissue cells 21,104,0.24,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458,0.11,59.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.387,74.0,105,14,13.33,3.28 (2.19-4.37),91,86.67,5.52 (5.10-5.94),2.69,3.59
da neurons 6,398,0.123,36.0,138,28,20.29,2.63 (2.16-3.10),110,79.71,5.48 (5.12-5.84),2.70,2.74
astrocytes microglia 23,190,0.215,16.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,752,0.175,82.0,96,35,36.46,3.54 (3.09-4.00),61,63.54,3.14 (2.69-3.59),2.65,5.28
oligodendrocytes 0,261,0.204,64.0,42,13,30.95,2.14 (1.38-2.89),29,69.05,5.38 (4.91-5.85),2.13,2.34
microglia 1,1615,0.121,65.0,161,77,47.83,2.43 (2.15-2.71),84,52.17,4.29 (3.94-4.63),7.91,3.16
oligodendrocytes 3,127,0.215,35.0,45,4,8.89,2.74 (0.34-5.15),41,91.11,4.60 (3.73-5.48),2.07,6.30
oligodendrocytes 2,347,0.165,34.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
