tipo_celular,module_size,MSI2_MM,MSI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.203,46.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,388,0.258,87.0,84,2,2.38,2.29 (2.26-2.32),82,97.62,2.99 (2.66-3.33),1.86,4.38
astrocytes 5,932,0.167,97.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,200,0.161,40.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,599,0.416,98.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685,0.24,84.0,135,20,14.81,2.01 (1.40-2.62),115,85.19,3.44 (3.11-3.77),4.87,3.55
da like neurons 11,853,0.267,95.0,133,21,15.79,1.39 (1.03-1.76),112,84.21,3.66 (3.34-3.97),6.03,3.81
GABA neurons expressing GABA receptors 13,288,0.152,41.0,93,9,9.68,3.08 (1.81-4.35),84,90.32,5.45 (4.95-5.94),4.50,3.89
endothelial cells 9,1653,0.227,96.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,233,0.163,35.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.218,55.0,306,13,4.25,2.75 (1.77-3.73),293,95.75,5.25 (4.99-5.51),10.61,6.53
astrocytes 8,1266,0.464,100.0,66,10,15.15,1.61 (0.55-2.67),56,84.85,3.57 (3.17-3.97),3.94,2.77
oligodendrocyte progenitor cells 12,254,0.164,23.0,37,5,13.51,3.73 (2.94-4.53),32,86.49,4.64 (3.98-5.31),2.53,2.46
oligodendrocytes 10,2107,0.321,92.0,358,32,8.94,1.61 (1.16-2.05),326,91.06,4.16 (3.98-4.34),25.63,7.89
connective tissue cells 21,183,0.275,51.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,418,0.075,42.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,199,0.261,94.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,553,0.206,86.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,141,0.241,48.0,30,2,6.67,4.61 (4.14-5.08),28,93.33,5.77 (4.80-6.73),3.09,4.11
astrocytes 4,251,0.209,78.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186,0.133,31.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,480,0.162,35.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,854,0.19,99.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,347,0.262,75.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
