tipo_celular,module_size,DCTN4_MM,DCTN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.153,33.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91),7.87,2.89
T cells 18,727,0.116,29.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,423,0.126,33.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.11,17.0,353,16,4.53,1.34 (0.67-2.00),337,95.47,4.03 (3.85-4.21),32.64,6.90
GABA neurons expressing GLU receptors 22,1069,0.108,12.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,229,0.238,75.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,108,0.19,42.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,417,0.08,2.0,213,9,4.23,0.73 (0.39-1.08),204,95.77,3.93 (3.70-4.16),11.02,9.63
endothelial cells 9,412,0.073,6.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,253,0.118,28.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402,0.193,39.0,455,10,2.2,0.62 (0.43-0.81),445,97.8,4.45 (4.27-4.62),37.74,8.19
astrocytes 8,727,0.09,38.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.116,87.0,276,9,3.26,1.74 (0.75-2.73),267,96.74,3.60 (3.39-3.82),9.17,4.97
oligodendrocytes 10,2107,0.093,25.0,358,15,4.19,1.09 (0.60-1.58),343,95.81,4.00 (3.82-4.19),32.94,8.45
connective tissue cells 21,77,0.298,54.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1768,0.082,46.0,105,4,3.81,1.12 (0.52-1.71),101,96.19,3.30 (2.97-3.64),7.25,3.85
oligodendrocytes 16,91,0.171,28.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,518,0.089,26.0,122,6,4.92,0.86 (0.40-1.31),116,95.08,4.20 (3.82-4.58),2.44,3.54
astrocytes microglia 23,101,0.281,30.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,514,0.165,39.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,2078,0.11,41.0,238,1,0.42,NA,237,99.58,3.64 (3.42-3.86),1.76,5.04
microglia 1,958,0.131,77.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06),5.73,5.00
oligodendrocytes 3,743,0.066,26.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.114,15.0,200,1,0.5,NA,199,99.5,3.62 (3.36-3.89),2.96,3.47
