tipo_celular,module_size,DEAF1_MM,DEAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.19,76.0,71,5,7.04,1.47 (0.79-2.14),66,92.96,2.73 (2.29-3.16),1.88,3.70
T cells 18,727,0.037,1.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,322,0.102,10.0,58,11,18.97,3.57 (2.63-4.51),47,81.03,4.35 (3.88-4.82),2.03,2.39
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,56,15.86,2.09 (1.81-2.37),297,84.14,4.36 (4.18-4.53),20.26,5.76
GABA neurons expressing GLU receptors 22,1069,0.135,26.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1247,0.18,76.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.105,31.0,133,54,40.6,2.30 (1.99-2.61),79,59.4,4.12 (3.70-4.55),5.31,3.38
GABA neurons expressing GABA receptors 13,417,0.113,14.0,213,16,7.51,1.18 (0.74-1.62),197,92.49,4.04 (3.81-4.26),6.85,9.92
endothelial cells 9,658,0.057,2.0,120,10,8.33,4.63 (3.80-5.45),110,91.67,4.61 (4.27-4.94),2.88,3.72
oligodendrocytes 20,275,0.252,68.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090,0.186,72.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266,0.073,40.0,66,22,33.33,2.12 (1.55-2.69),44,66.67,3.92 (3.47-4.37),3.51,2.67
oligodendrocyte progenitor cells 12,3303,0.052,17.0,276,44,15.94,2.03 (1.80-2.25),232,84.06,3.94 (3.71-4.18),9.18,4.34
oligodendrocytes 10,806,0.136,42.0,261,1,0.38,4.85 (NA-NA),260,99.62,4.36 (4.12-4.61),4.73,6.07
connective tissue cells 21,96,0.212,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.163,92.0,96,7,7.29,2.39 (1.58-3.20),89,92.71,3.73 (3.25-4.21),3.50,3.82
oligodendrocytes 16,91,0.267,87.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,553,0.116,41.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,41,0.364,63.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,721,0.161,70.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613,0.091,5.0,127,16,12.6,2.38 (1.91-2.86),111,87.4,3.22 (2.72-3.71),3.24,6.72
microglia 1,958,0.085,12.0,290,13,4.48,2.45 (1.71-3.19),277,95.52,3.90 (3.66-4.13),5.94,4.96
oligodendrocytes 3,681,0.079,35.0,87,54,62.07,2.40 (2.12-2.69),33,37.93,2.95 (2.38-3.53),4.92,3.14
oligodendrocytes 2,1630,0.169,93.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51),1.75,3.62
