tipo_celular,module_size,DICER1_MM,DICER1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.172,24.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,624,0.205,85.0,142,3,2.11,4.23 (2.69-5.77),139,97.89,3.18 (2.91-3.45),1.81,4.35
astrocytes 5,1141,0.178,95.0,166,36,21.69,2.49 (2.07-2.90),130,78.31,3.71 (3.43-4.00),4.42,4.59
oligodendrocyte progenitor cells 7,4285,0.173,95.0,353,69,19.55,2.40 (2.08-2.73),284,80.45,4.37 (4.19-4.55),16.83,5.93
GABA neurons expressing GLU receptors 22,567,0.179,45.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.18,58.0,91,20,21.98,2.03 (1.32-2.74),71,78.02,5.46 (5.01-5.90),3.14,3.04
da like neurons 11,408,0.2,57.0,25,8,32.0,1.20 (0.74-1.66),17,68.0,6.45 (5.43-7.48),2.28,2.28
GABA neurons expressing GABA receptors 13,288,0.228,70.0,93,25,26.88,4.56 (3.63-5.50),68,73.12,5.46 (4.91-6.02),6.29,3.09
endothelial cells 9,1653,0.138,58.0,297,3,1.01,3.93 (1.18-6.69),294,98.99,3.67 (3.47-3.88),3.66,5.54
oligodendrocytes 20,676,0.459,75.0,110,24,21.82,4.55 (3.55-5.54),86,78.18,5.19 (4.72-5.66),4.88,3.15
GABA like neurons 14,3052,0.147,57.0,125,2,1.6,5.37 (4.97-5.77),123,98.4,3.31 (2.99-3.64),2.11,8.72
astrocytes 8,771,0.308,82.0,48,9,18.75,6.85 (4.45-9.25),39,81.25,3.99 (3.30-4.68),3.42,3.08
oligodendrocyte progenitor cells 12,708,0.227,80.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99),1.69,2.61
oligodendrocytes 10,236,0.531,61.0,82,20,24.39,4.92 (3.97-5.88),62,75.61,5.02 (4.40-5.65),3.01,4.10
connective tissue cells 21,250,0.17,10.0,117,24,20.51,4.86 (3.98-5.75),93,79.49,5.56 (5.13-5.99),5.68,3.24
astrocytes 15,458,0.148,73.0,36,6,16.67,8.14 (7.87-8.41),30,83.33,2.61 (1.87-3.36),1.65,2.76
oligodendrocytes 16,287,0.374,69.0,105,28,26.67,4.45 (3.51-5.39),77,73.33,5.47 (5.07-5.86),3.79,3.35
da neurons 6,398,0.204,68.0,138,27,19.57,2.63 (2.11-3.15),111,80.43,5.42 (5.06-5.78),2.67,2.75
astrocytes microglia 23,190,0.357,93.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752,0.173,80.0,96,12,12.5,3.40 (2.74-4.06),84,87.5,3.27 (2.90-3.64),2.52,4.58
oligodendrocytes 0,261,0.183,48.0,42,17,40.48,3.26 (2.11-4.42),25,59.52,4.76 (4.09-5.44),2.10,2.39
microglia 1,813,0.122,57.0,79,4,5.06,4.93 (4.43-5.43),75,94.94,2.99 (2.58-3.40),4.19,8.10
oligodendrocytes 3,127,0.316,69.0,45,17,37.78,4.58 (3.30-5.86),28,62.22,4.01 (2.91-5.11),2.09,8.25
oligodendrocytes 2,347,0.029,0.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
