tipo_celular,module_size,UBE3C_MM,UBE3C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.115,19.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,727,0.207,90.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,1141,0.123,37.0,166,28,16.87,3.00 (2.39-3.60),138,83.13,3.47 (3.19-3.74),5.53,4.35
oligodendrocyte progenitor cells 7,4285,0.21,100.0,353,31,8.78,2.93 (2.39-3.48),322,91.22,3.99 (3.79-4.18),14.51,7.44
GABA neurons expressing GLU receptors 22,823,0.229,79.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,300,0.187,50.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,109,0.156,28.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,80,0.141,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653,0.17,79.0,297,13,4.38,4.06 (3.15-4.97),284,95.62,3.66 (3.46-3.87),9.10,5.35
oligodendrocytes 20,348,0.199,73.0,33,4,12.12,3.01 (2.78-3.24),29,87.88,2.69 (2.13-3.25),4.04,3.29
GABA like neurons 14,1300,0.263,75.0,306,5,1.63,2.24 (1.15-3.33),301,98.37,5.16 (4.90-5.42),4.03,6.75
astrocytes 8,283,0.169,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.089,63.0,276,28,10.14,3.04 (2.48-3.61),248,89.86,3.60 (3.37-3.83),10.25,4.53
oligodendrocytes 10,2107,0.288,88.0,358,32,8.94,2.93 (2.39-3.48),326,91.06,3.96 (3.75-4.16),17.10,8.72
connective tissue cells 21,90,0.216,12.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,458,0.052,20.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,151,0.175,39.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,398,0.097,19.0,138,3,2.17,2.30 (0.58-4.02),135,97.83,4.89 (4.52-5.26),1.89,2.75
astrocytes microglia 23,255,0.276,64.0,57,7,12.28,3.87 (3.04-4.70),50,87.72,2.46 (2.09-2.83),3.28,3.34
astrocytes 4,752,0.138,28.0,96,7,7.29,4.95 (4.11-5.79),89,92.71,3.22 (2.89-3.56),2.86,4.43
oligodendrocytes 0,1186,0.184,95.0,300,3,1.0,NA,297,99.0,3.79 (3.59-4.00),2.52,4.17
microglia 1,813,0.106,36.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.103,58.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,407,0.167,63.0,122,5,4.1,1.56 (0.57-2.54),117,95.9,3.43 (3.03-3.82),2.24,2.72
