tipo_celular,module_size,KLC1_MM,KLC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.188,60.0,140,11,7.86,4.91 (3.81-6.01),129,92.14,4.48 (4.03-4.92),4.41,3.50
T cells 18,282,0.212,70.0,241,8,3.32,5.53 (3.48-7.58),233,96.68,4.01 (3.76-4.26),2.66,4.40
astrocytes 5,228,0.197,61.0,266,26,9.77,3.10 (2.11-4.09),240,90.23,4.22 (4.02-4.43),4.59,5.02
oligodendrocyte progenitor cells 7,296,0.233,71.0,251,7,2.79,5.27 (3.75-6.79),244,97.21,4.02 (3.78-4.26),2.98,6.24
GABA neurons expressing GLU receptors 22,487,0.378,89.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19),2.37,7.54
GLU like neurons 17,1316,0.18,89.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.408,93.0,410,8,1.95,4.03 (1.51-6.54),402,98.05,4.25 (4.07-4.44),6.08,7.54
GABA neurons expressing GABA receptors 13,357,0.102,15.0,237,1,0.42,NA,236,99.58,4.41 (4.18-4.64),1.70,4.19
endothelial cells 9,338,0.266,82.0,191,4,2.09,4.83 (1.72-7.93),187,97.91,3.87 (3.64-4.09),3.53,9.28
oligodendrocytes 20,298,0.1,37.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.491,88.0,455,9,1.98,1.46 (0.50-2.41),446,98.02,4.42 (4.24-4.60),33.26,8.34
astrocytes 8,520,0.273,84.0,288,14,4.86,3.86 (2.30-5.42),274,95.14,4.19 (3.99-4.38),3.96,4.72
oligodendrocyte progenitor cells 12,3303,0.09,64.0,276,6,2.17,1.83 (0.68-2.98),270,97.83,3.59 (3.37-3.81),8.01,5.05
oligodendrocytes 10,806,0.406,90.0,261,15,5.75,4.61 (3.31-5.91),246,94.25,4.35 (4.11-4.60),6.13,6.06
connective tissue cells 21,101,0.187,6.0,116,15,12.93,3.98 (2.75-5.20),101,87.07,4.69 (4.25-5.13),4.43,3.04
astrocytes 15,1401,0.072,37.0,96,4,4.17,2.42 (1.15-3.68),92,95.83,3.68 (3.21-4.14),7.94,3.62
oligodendrocytes 16,313,0.322,76.0,291,7,2.41,3.97 (2.03-5.92),284,97.59,4.34 (4.11-4.56),2.80,3.84
da neurons 6,300,0.253,79.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,70,0.345,57.0,76,4,5.26,4.34 (4.12-4.57),72,94.74,4.19 (3.63-4.75),2.53,4.65
astrocytes 4,157,0.17,43.0,178,20,11.24,3.41 (2.18-4.65),158,88.76,4.24 (3.98-4.50),3.82,4.58
oligodendrocytes 0,116,0.132,35.0,169,4,2.37,7.70 (NA-NA),165,97.63,4.25 (3.95-4.54),2.31,6.59
microglia 1,214,0.205,57.0,227,11,4.85,4.41 (3.22-5.61),216,95.15,4.07 (3.83-4.32),4.08,6.22
oligodendrocytes 3,457,0.162,70.0,345,15,4.35,4.03 (2.48-5.58),330,95.65,4.28 (4.07-4.49),3.51,5.79
oligodendrocytes 2,99,0.177,32.0,116,3,2.59,NA,113,97.41,3.96 (3.66-4.26),2.86,7.35
