tipo_celular,module_size,BEX4_MM,BEX4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.257,76.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.212,68.0,266,23,8.65,3.54 (2.60-4.47),243,91.35,4.17 (3.96-4.38),4.25,5.05
oligodendrocyte progenitor cells 7,628.0,0.275,87.0,164,3,1.83,5.80 (5.23-6.36),161,98.17,4.06 (3.73-4.39),2.06,7.63
GABA neurons expressing GLU receptors 22,848.0,0.279,72.0,262,14,5.34,3.72 (2.54-4.90),248,94.66,4.19 (3.94-4.44),3.94,4.11
GLU like neurons 17,685.0,0.257,86.0,135,20,14.81,2.09 (1.50-2.67),115,85.19,3.41 (3.08-3.74),4.02,3.70
da like neurons 11,1220.0,0.429,94.0,410,20,4.88,4.28 (3.42-5.14),390,95.12,4.25 (4.05-4.44),4.89,7.65
GABA neurons expressing GABA receptors 13,265.0,0.179,63.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,338.0,0.177,67.0,191,3,1.57,5.32 (4.54-6.10),188,98.43,3.86 (3.63-4.08),3.35,9.25
oligodendrocytes 20,938.0,0.185,75.0,169,13,7.69,3.79 (2.58-5.00),156,92.31,3.45 (3.24-3.67),3.88,5.49
GABA like neurons 14,2402.0,0.712,99.0,455,32,7.03,2.63 (1.89-3.36),423,92.97,4.50 (4.31-4.68),16.56,8.25
astrocytes 8,520.0,0.279,84.0,288,10,3.47,3.77 (2.36-5.18),278,96.53,4.18 (3.98-4.39),3.90,4.71
oligodendrocyte progenitor cells 12,1049.0,0.122,65.0,235,9,3.83,5.90 (4.62-7.17),226,96.17,3.77 (3.53-4.00),3.20,7.79
oligodendrocytes 10,806.0,0.336,84.0,261,9,3.45,5.01 (4.60-5.41),252,96.55,4.34 (4.09-4.59),4.92,6.11
connective tissue cells 21,101.0,0.408,75.0,116,12,10.34,4.05 (3.09-5.01),104,89.66,4.69 (4.23-5.14),3.06,3.24
astrocytes 15,443.0,0.267,96.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09),2.35,1.77
oligodendrocytes 16,313.0,0.216,49.0,291,14,4.81,4.62 (3.80-5.44),277,95.19,4.31 (4.08-4.54),3.40,3.84
da neurons 6,729.0,0.23,84.0,182,5,2.75,1.57 (1.57-1.57),177,97.25,3.66 (3.41-3.92),2.43,8.69
astrocytes microglia 23,96.0,0.36,74.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,157.0,0.169,41.0,178,19,10.67,3.32 (2.23-4.40),159,89.33,4.25 (3.98-4.52),3.42,4.63
oligodendrocytes 0,546.0,0.21,69.0,252,26,10.32,2.37 (1.54-3.19),226,89.68,4.30 (4.06-4.55),8.82,8.14
microglia 1,214.0,0.224,64.0,227,5,2.2,5.06 (4.32-5.81),222,97.8,4.07 (3.83-4.31),2.22,6.21
oligodendrocytes 3,457.0,0.167,72.0,345,20,5.8,5.07 (4.54-5.59),325,94.2,4.21 (4.00-4.43),3.81,5.81
oligodendrocytes 2,528.0,0.354,90.0,175,1,0.57,NA,174,99.43,4.38 (4.03-4.73),1.44,4.64
