tipo_celular,module_size,SIN3B_MM,SIN3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.141,42.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,624,0.084,6.0,142,4,2.82,4.46 (4.22-4.71),138,97.18,3.17 (2.90-3.44),2.36,4.35
astrocytes 5,1656,0.107,36.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,4285,0.128,38.0,353,54,15.3,2.14 (1.82-2.46),299,84.7,4.32 (4.15-4.50),22.22,5.51
GABA neurons expressing GLU receptors 22,400,0.186,43.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14),5.15,3.06
GLU like neurons 17,489,0.137,49.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853,0.095,24.0,133,51,38.35,2.33 (2.00-2.66),82,61.65,4.01 (3.60-4.43),5.59,3.27
GABA neurons expressing GABA receptors 13,86,0.201,76.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,412,0.085,10.0,141,9,6.38,2.03 (1.45-2.60),132,93.62,3.03 (2.78-3.28),3.80,7.02
oligodendrocytes 20,348,0.04,13.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22),2.05,3.47
GABA like neurons 14,2090,0.203,81.0,74,15,20.27,2.51 (2.04-2.98),59,79.73,3.07 (2.61-3.54),3.39,12.31
astrocytes 8,520,0.082,32.0,288,3,1.04,1.02 (0.32-1.71),285,98.96,4.22 (4.02-4.41),4.77,4.68
oligodendrocyte progenitor cells 12,3303,0.055,21.0,276,41,14.86,2.04 (1.75-2.33),235,85.14,3.91 (3.68-4.14),11.53,3.99
oligodendrocytes 10,806,0.171,54.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,136,0.323,63.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,1401,0.036,7.0,96,4,4.17,2.17 (1.17-3.16),92,95.83,3.69 (3.23-4.15),4.84,3.75
oligodendrocytes 16,82,0.201,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.161,78.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,61,0.296,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.167,79.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.099,21.0,238,12,5.04,2.63 (1.93-3.32),226,94.96,3.70 (3.47-3.93),6.89,4.92
microglia 1,214,0.085,6.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,639,0.062,19.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,1630,0.179,98.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
