tipo_celular,module_size,TCF25_MM,TCF25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.101,12.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,282,0.215,70.0,241,2,0.83,4.10 (0.43-7.78),239,99.17,4.05 (3.80-4.31),2.84,4.35
astrocytes 5,932,0.1,38.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,628,0.101,8.0,164,4,2.44,5.32 (4.33-6.31),160,97.56,4.05 (3.72-4.39),1.88,7.67
GABA neurons expressing GLU receptors 22,487,0.165,27.0,73,4,5.48,2.34 (0.49-4.19),69,94.52,2.78 (2.39-3.18),1.92,7.64
GLU like neurons 17,1247,0.168,72.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215,0.228,62.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,417,0.177,61.0,213,21,9.86,1.70 (0.96-2.45),192,90.14,4.04 (3.82-4.27),8.04,9.86
endothelial cells 9,303,0.064,9.0,54,1,1.85,6.49 (NA-NA),53,98.15,4.79 (4.15-5.42),2.25,5.09
oligodendrocytes 20,938,0.192,78.0,169,15,8.88,3.26 (2.17-4.34),154,91.12,3.50 (3.29-3.72),4.71,5.43
GABA like neurons 14,2402,0.195,40.0,455,25,5.49,2.32 (1.53-3.11),430,94.51,4.50 (4.32-4.68),18.40,8.28
astrocytes 8,1266,0.141,85.0,66,16,24.24,2.05 (1.28-2.82),50,75.76,3.68 (3.26-4.11),3.27,2.85
oligodendrocyte progenitor cells 12,1049,0.12,64.0,235,4,1.7,4.78 (2.77-6.79),231,98.3,3.81 (3.57-4.04),11.13,7.55
oligodendrocytes 10,735,0.093,48.0,277,2,0.72,5.80 (5.23-6.36),275,99.28,3.87 (3.63-4.12),3.28,8.99
connective tissue cells 21,103,0.16,1.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768,0.076,40.0,105,20,19.05,1.90 (1.35-2.46),85,80.95,3.55 (3.19-3.91),4.98,3.74
oligodendrocytes 16,155,0.165,19.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,409,0.262,90.0,235,5,2.13,3.22 (1.05-5.40),230,97.87,4.00 (3.75-4.25),3.42,4.44
astrocytes microglia 23,141,0.194,13.0,30,3,10.0,2.61 (0.89-4.33),27,90.0,6.15 (5.34-6.95),1.81,4.29
astrocytes 4,251,0.1,5.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,546,0.069,2.0,252,19,7.54,1.95 (1.07-2.82),233,92.46,4.32 (4.08-4.55),10.45,8.03
microglia 1,480,0.091,4.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,357,0.17,86.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,526,0.107,5.0,213,4,1.88,5.18 (3.94-6.43),209,98.12,3.96 (3.68-4.23),4.21,8.01
