tipo_celular,module_size,NEFL_MM,NEFL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.38,91.0,140,19,13.57,4.05 (3.40-4.69),121,86.43,4.59 (4.10-5.07),3.79,3.54
T cells 18,282,0.546,98.0,241,8,3.32,4.13 (3.17-5.08),233,96.68,4.05 (3.79-4.31),3.04,4.38
astrocytes 5,228,0.549,100.0,266,39,14.66,3.37 (2.82-3.92),227,85.34,4.26 (4.04-4.48),5.02,4.97
oligodendrocyte progenitor cells 7,296,0.556,100.0,251,12,4.78,4.64 (4.32-4.95),239,95.22,4.04 (3.79-4.29),3.33,6.30
GABA neurons expressing GLU receptors 22,848,0.414,93.0,262,23,8.78,3.51 (2.67-4.34),239,91.22,4.22 (3.96-4.48),4.14,4.10
GLU like neurons 17,1316,0.286,100.0,101,5,4.95,3.45 (2.28-4.62),96,95.05,3.04 (2.68-3.40),1.90,3.11
da like neurons 11,1220,0.583,100.0,410,13,3.17,2.90 (2.05-3.76),397,96.83,4.29 (4.10-4.48),5.81,7.57
GABA neurons expressing GABA receptors 13,357,0.242,79.0,237,7,2.95,4.06 (1.88-6.23),230,97.05,4.41 (4.18-4.65),2.64,4.23
endothelial cells 9,338,0.54,99.0,191,4,2.09,3.26 (1.07-5.46),187,97.91,3.90 (3.67-4.12),4.68,9.25
oligodendrocytes 20,279,0.057,7.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,2402,0.611,96.0,455,17,3.74,2.52 (1.64-3.41),438,96.26,4.43 (4.24-4.61),19.25,8.43
astrocytes 8,520,0.567,99.0,288,29,10.07,3.88 (3.33-4.42),259,89.93,4.21 (3.99-4.42),4.78,4.67
oligodendrocyte progenitor cells 12,3303,0.14,97.0,276,21,7.61,3.07 (2.40-3.74),255,92.39,3.59 (3.36-3.82),8.10,4.86
oligodendrocytes 10,806,0.684,100.0,261,19,7.28,4.19 (3.56-4.81),242,92.72,4.38 (4.12-4.64),5.71,6.09
connective tissue cells 21,101,0.646,100.0,116,29,25.0,3.75 (3.17-4.32),87,75.0,4.93 (4.42-5.44),3.97,2.97
astrocytes 15,1401,0.04,9.0,96,12,12.5,3.59 (2.78-4.40),84,87.5,3.62 (3.11-4.13),4.07,3.76
oligodendrocytes 16,313,0.51,95.0,291,21,7.22,3.72 (3.04-4.41),270,92.78,4.38 (4.15-4.62),4.96,3.73
da neurons 6,409,0.273,91.0,235,1,0.43,5.16 (NA-NA),234,99.57,3.97 (3.72-4.22),2.12,4.42
astrocytes microglia 23,70,0.63,100.0,76,10,13.16,4.72 (4.37-5.06),66,86.84,4.08 (3.45-4.71),3.86,4.64
astrocytes 4,157,0.469,93.0,178,31,17.42,3.29 (2.65-3.93),147,82.58,4.34 (4.05-4.63),4.13,4.58
oligodendrocytes 0,116,0.375,88.0,169,6,3.55,4.49 (3.29-5.70),163,96.45,4.27 (3.96-4.57),4.28,6.57
microglia 1,214,0.537,99.0,227,18,7.93,4.49 (4.03-4.94),209,92.07,4.06 (3.80-4.31),3.56,6.34
oligodendrocytes 3,457,0.472,99.0,345,21,6.09,3.38 (2.79-3.98),324,93.91,4.34 (4.13-4.56),5.20,5.72
oligodendrocytes 2,99,0.503,91.0,116,1,0.86,NA,115,99.14,3.96 (3.66-4.26),1.60,7.29
