tipo_celular,module_size,PTCD3_MM,PTCD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.237,68.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,282,0.138,21.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932,0.076,7.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,36,10.2,1.59 (1.27-1.91),317,89.8,4.22 (4.05-4.39),28.54,5.74
GABA neurons expressing GLU receptors 22,848,0.179,36.0,262,10,3.82,1.91 (0.74-3.07),252,96.18,4.26 (4.02-4.50),3.87,4.11
GLU like neurons 17,1247,0.063,6.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,120,0.152,20.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,73,0.196,75.0,16,1,6.25,NA,15,93.75,2.22 (1.28-3.17),2.06,9.76
endothelial cells 9,450,0.063,4.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,403,0.189,74.0,18,11,61.11,1.15 (0.57-1.74),7,38.89,3.01 (1.96-4.07),4.86,2.12
GABA like neurons 14,3052,0.18,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,140,0.047,16.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303,0.076,47.0,276,23,8.33,1.74 (1.41-2.06),253,91.67,3.76 (3.54-3.98),14.78,4.23
oligodendrocytes 10,735,0.096,50.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14),4.02,8.98
connective tissue cells 21,103,0.311,68.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,261,0.126,35.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,71,0.258,73.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,300,0.091,13.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,28,0.227,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.168,80.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186,0.125,22.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.098,31.0,161,26,16.15,1.40 (1.03-1.77),135,83.85,3.73 (3.48-3.99),14.08,3.77
oligodendrocytes 3,1003,0.059,11.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.132,40.0,200,5,2.5,2.14 (1.50-2.77),195,97.5,3.67 (3.40-3.94),5.99,3.40
