tipo_celular,module_size,SND1_MM,SND1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.272,92.0,97,4,4.12,4.51 (3.21-5.80),93,95.88,2.98 (2.58-3.38),3.21,4.98
T cells 18,388,0.048,3.0,84,2,2.38,2.29 (2.26-2.32),82,97.62,2.99 (2.66-3.33),1.86,4.38
astrocytes 5,156,0.187,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285,0.172,94.0,353,49,13.88,2.44 (2.00-2.89),304,86.12,4.20 (4.02-4.38),19.89,6.16
GABA neurons expressing GLU receptors 22,823,0.15,31.0,23,3,13.04,2.61 (0.99-4.24),20,86.96,2.35 (1.52-3.18),1.67,3.68
GLU like neurons 17,685,0.183,73.0,135,29,21.48,2.03 (1.58-2.48),106,78.52,3.50 (3.16-3.84),4.87,3.44
da like neurons 11,140,0.393,98.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,288,0.077,2.0,93,6,6.45,1.92 (1.01-2.84),87,93.55,5.44 (4.97-5.92),2.41,4.06
endothelial cells 9,1653,0.148,66.0,297,7,2.36,3.68 (2.85-4.50),290,97.64,3.67 (3.46-3.88),7.32,5.47
oligodendrocytes 20,330,0.143,37.0,36,11,30.56,2.07 (1.60-2.54),25,69.44,1.85 (1.38-2.31),1.94,3.65
GABA like neurons 14,3052,0.115,29.0,125,2,1.6,5.37 (4.97-5.77),123,98.4,3.31 (2.99-3.64),2.11,8.72
astrocytes 8,283,0.248,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.067,36.0,276,35,12.68,2.48 (1.97-2.99),241,87.32,3.75 (3.52-3.97),8.87,4.56
oligodendrocytes 10,2107,0.415,98.0,358,54,15.08,2.44 (2.02-2.85),304,84.92,4.22 (4.04-4.41),21.95,7.26
connective tissue cells 21,112,0.244,52.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89),1.40,2.02
astrocytes 15,1768,0.153,92.0,105,24,22.86,2.44 (1.81-3.06),81,77.14,3.47 (3.09-3.85),5.34,3.57
oligodendrocytes 16,71,0.165,33.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,300,0.084,10.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,46,0.144,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,171,0.143,29.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,1186,0.132,30.0,300,6,2.0,3.54 (2.86-4.22),294,98.0,3.80 (3.59-4.01),8.41,4.07
microglia 1,813,0.3,99.0,79,2,2.53,5.16 (5.16-5.16),77,97.47,3.04 (2.64-3.45),4.52,7.99
oligodendrocytes 3,854,0.117,77.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,804,0.132,25.0,84,5,5.95,1.62 (0.40-2.84),79,94.05,2.77 (2.43-3.12),3.57,3.38
